,Period,Price,Type,Location,Property Ref,Added On,Last Updated,Market Status,Bedrooms,Toilets,   ,Bathrooms,Parking Spaces,Servicing,Service Charge,Total Area,Covered Area,Furnishing
125, per annum,"13,500,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 1233957, 21 Feb 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced,,,,
126, per annum,"1,400,000", Self Contain (Single Rooms)," Lekki County Homes, Ikota, Lekki, Lagos", 1303784, 28 Apr 2022, 04 May 2022, Available,, 1, , 1, 1, Serviced," ₦150,000 per annum",,,
127, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5,, 5, 5,,,,,
128, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, , 5, 3, Serviced," ₦40,000 per month",,,
129, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, , 5,, Serviced," ₦500,000 ",,,
130, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2,, 2, 1, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
131, per annum,"700,000", Mini Flat (Room and Parlour)," Lekkischeme2, Ajah, Lagos", 1310303, 05 May 2022, 05 May 2022, Available, 1, 1,, 1, 1,,,,,
132, per annum,"6,000,000", Terraced Duplex," Lekki, Lekki Phase 1, Lekki, Lagos", 1310284, 05 May 2022, 05 May 2022, Available, 4, 5, , 4,, Serviced," ₦1,000,000 per annum",,,
133, per annum,"3,000,000", Semi-detached Duplex," Crown Estate Sangotedo, Ajah, Lekki, Lagos", 1310283, 05 May 2022, 05 May 2022, Available, 5, 6,, 5,, Serviced,,,,
134, per annum,"800,000", Flat / Apartment," Lakowe, Ibeju Lekki, Lagos", 1310277, 05 May 2022, 05 May 2022, Available, 2, 3, , 2, 2, Serviced," ₦78,000 per annum",,,
135, per annum,"15,000,000", Flat / Apartment," Victoria Island (VI), Lagos", 1229185, 16 Feb 2022, 05 May 2022, Available, 4, 5, , 4, 2, Serviced," ₦3,500,000 per annum",,,
136, per annum,"350,000", Mini Flat (Room and Parlour)," Ologede Estate, New Garage, Ibadan, Oyo", 1292334, 16 Apr 2022, 05 May 2022, Available, 1, 1,, 1, 5,,,,,
137, per annum,"20,000,000", Semi-detached Duplex," Banana Island, Ikoyi, Lagos", 1229922, 17 Feb 2022, 05 May 2022, Available, 4, 5, , 4, 3, Serviced," ₦2,500,000 per annum",,,
138, per annum,"18,000,000", Flat / Apartment," Victoria Island (VI), Lagos", 1232216, 18 Feb 2022, 05 May 2022, Available, 4, 5, , 4, 2, Serviced," ₦5,000,000 per annum",,,
139, per annum,"10,000,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 1232551, 19 Feb 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦3,500,000 ",,,
140, per annum,"5,000,000", Terraced Duplex," Osapa, Lekki, Lagos", 1310263, 05 May 2022, 05 May 2022, Available, 4, 5, , 4,, Serviced," ₦840,000 per month",,,
141, per annum,"22,000,000", Flat / Apartment," Banana Island Estate, Banana Island, Ikoyi, Lagos", 1232688, 19 Feb 2022, 29 Apr 2022, Available, 4, 5, , 4, 2, Serviced,,,,
142, per annum,"20,000,000", Flat / Apartment," Ikoyi, Lagos", 1233522, 20 Feb 2022, 05 May 2022, Available, 4, 5, , 4, 2, Serviced,,,,
143, per annum,"12,000,000", Flat / Apartment," Ikoyi, Lagos", 1233534, 20 Feb 2022, 05 May 2022, Available, 4, 5, , 4, 2, Serviced,,,,
