,Period,Price,Type,Location,Property Ref,Added On,Last Updated,Market Status,Bedrooms,Toilets,   ,Bathrooms,Parking Spaces,Servicing,Service Charge,Total Area,Covered Area,Furnishing
444, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, , 5,, Serviced," ₦500,000 ",,,
445, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2,, 2, 1, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
446, per annum,"750,000", Mini Flat (Room and Parlour)," Abraham Adesanya Estate, Ajah, Lagos", 1310351, 05 May 2022, 05 May 2022, Available, 1, 2, , 2,, Serviced," ₦100,000 per annum",,,
447, per annum,"2,200,000", Flat / Apartment," Ikate, Lekki, Lagos", 1310349, 05 May 2022, 05 May 2022, Available, 2, 3, , 2,,,,,,
448, per annum,"3,000,000", Terraced Duplex," Forte Contempo Estate, Ajah, Lagos", 1310347, 05 May 2022, 05 May 2022, Available, 3, 4,, 3, 2,,,,,
449, per annum,"8,000,000", Flat / Apartment," Off Adeola Adeku, Victoria Island (VI), Lagos", 1310339, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,, Serviced," ₦1,500,000 ",,,
450, per annum,"3,800,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310337, 05 May 2022, 05 May 2022, Available, 3,,,,,,,,,
451, per annum,"2,000,000", Flat / Apartment," Ilasan, Lekki, Lagos", 1310334, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,,,,,,
452, per annum,"3,500,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310330, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦700,000 per annum",,,
453, per annum,"1,000,000", Self Contain (Single Rooms)," Oniru, Victoria Island (VI), Lagos", 1310325, 05 May 2022, 05 May 2022, Available,, 1, , 1,,,,,,
454, per annum,"3,000,000", Flat / Apartment," Ali Rabiu Street, Jahi, Abuja", 1310290, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦9,000 per month",,,
455, per annum,"1,300,000", Flat / Apartment," Ogombo, Ajah, Lagos", 1310319, 05 May 2022, 05 May 2022, Available, 3, 3,, 2, 2,,,,,
456, per annum,"5,500,000", Terraced Duplex," Ikate, Lekki, Lagos", 1310317, 05 May 2022, 05 May 2022, Available, 4, 5, , 4, 3,,, 150 sqm,,
457, per annum,"1,800,000", Flat / Apartment," Ajah, Lagos", 1310306, 05 May 2022, 05 May 2022, Available, 2, 3,, 2, 2,,,,,
458, per annum,"700,000", Mini Flat (Room and Parlour)," Lekkischeme2, Ajah, Lagos", 1310303, 05 May 2022, 05 May 2022, Available, 1, 1,, 1, 1,,,,,
459, per annum,"6,000,000", Terraced Duplex," Lekki, Lekki Phase 1, Lekki, Lagos", 1310284, 05 May 2022, 05 May 2022, Available, 4, 5, , 4,, Serviced," ₦1,000,000 per annum",,,
460, per annum,"3,000,000", Semi-detached Duplex," Crown Estate Sangotedo, Ajah, Lekki, Lagos", 1310283, 05 May 2022, 05 May 2022, Available, 5, 6,, 5,, Serviced,,,,
461, per annum,"800,000", Flat / Apartment," Lakowe, Ibeju Lekki, Lagos", 1310277, 05 May 2022, 05 May 2022, Available, 2, 3, , 2, 2, Serviced," ₦78,000 per annum",,,
462, per annum,"800,000", Self Contain (Single Rooms)," Lekki County Homes, Ikota, Lekki, Lagos", 1303779, 28 Apr 2022, 04 May 2022, Available,, 1, , 1, 1, Serviced," ₦150,000 per annum",,,
463, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5,, 5, 5,,,,,
464, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, , 5, 3, Serviced," ₦40,000 per month",,,
465, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, , 5,, Serviced," ₦500,000 ",,,
466, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2,, 2, 1, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
467, per annum,"750,000", Mini Flat (Room and Parlour)," Abraham Adesanya Estate, Ajah, Lagos", 1310351, 05 May 2022, 05 May 2022, Available, 1, 2, , 2,, Serviced," ₦100,000 per annum",,,
468, per annum,"2,200,000", Flat / Apartment," Ikate, Lekki, Lagos", 1310349, 05 May 2022, 05 May 2022, Available, 2, 3, , 2,,,,,,
469, per annum,"3,000,000", Terraced Duplex," Forte Contempo Estate, Ajah, Lagos", 1310347, 05 May 2022, 05 May 2022, Available, 3, 4,, 3, 2,,,,,
470, per annum,"8,000,000", Flat / Apartment," Off Adeola Adeku, Victoria Island (VI), Lagos", 1310339, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,, Serviced," ₦1,500,000 ",,,
471, per annum,"3,800,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310337, 05 May 2022, 05 May 2022, Available, 3,,,,,,,,,
472, per annum,"2,000,000", Flat / Apartment," Ilasan, Lekki, Lagos", 1310334, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,,,,,,
473, per annum,"3,500,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310330, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦700,000 per annum",,,
474, per annum,"1,000,000", Self Contain (Single Rooms)," Oniru, Victoria Island (VI), Lagos", 1310325, 05 May 2022, 05 May 2022, Available,, 1, , 1,,,,,,
475, per annum,"3,000,000", Flat / Apartment," Ali Rabiu Street, Jahi, Abuja", 1310290, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦9,000 per month",,,
476, per annum,"1,300,000", Flat / Apartment," Ogombo, Ajah, Lagos", 1310319, 05 May 2022, 05 May 2022, Available, 3, 3,, 2, 2,,,,,
477, per annum,"5,500,000", Terraced Duplex," Ikate, Lekki, Lagos", 1310317, 05 May 2022, 05 May 2022, Available, 4, 5, , 4, 3,,, 150 sqm,,
478, per annum,"1,800,000", Flat / Apartment," Ajah, Lagos", 1310306, 05 May 2022, 05 May 2022, Available, 2, 3,, 2, 2,,,,,
479, per annum,"700,000", Mini Flat (Room and Parlour)," Lekkischeme2, Ajah, Lagos", 1310303, 05 May 2022, 05 May 2022, Available, 1, 1,, 1, 1,,,,,
480, per annum,"6,000,000", Terraced Duplex," Lekki, Lekki Phase 1, Lekki, Lagos", 1310284, 05 May 2022, 05 May 2022, Available, 4, 5, , 4,, Serviced," ₦1,000,000 per annum",,,
481, per annum,"3,000,000", Semi-detached Duplex," Crown Estate Sangotedo, Ajah, Lekki, Lagos", 1310283, 05 May 2022, 05 May 2022, Available, 5, 6,, 5,, Serviced,,,,
482, per annum,"800,000", Flat / Apartment," Lakowe, Ibeju Lekki, Lagos", 1310277, 05 May 2022, 05 May 2022, Available, 2, 3, , 2, 2, Serviced," ₦78,000 per annum",,,
483, per annum,"800,000", Self Contain (Single Rooms)," Lekki County Homes, Ikota, Lekki, Lagos", 1303779, 28 Apr 2022, 04 May 2022, Available,, 1, , 1, 1, Serviced," ₦150,000 per annum",,,
484, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5,, 5, 5,,,,,
485, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, , 5, 3, Serviced," ₦40,000 per month",,,
486, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, , 5,, Serviced," ₦500,000 ",,,
487, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2,, 2, 1, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
488, per annum,"750,000", Mini Flat (Room and Parlour)," Abraham Adesanya Estate, Ajah, Lagos", 1310351, 05 May 2022, 05 May 2022, Available, 1, 2, , 2,, Serviced," ₦100,000 per annum",,,
489, per annum,"2,200,000", Flat / Apartment," Ikate, Lekki, Lagos", 1310349, 05 May 2022, 05 May 2022, Available, 2, 3, , 2,,,,,,
490, per annum,"3,000,000", Terraced Duplex," Forte Contempo Estate, Ajah, Lagos", 1310347, 05 May 2022, 05 May 2022, Available, 3, 4,, 3, 2,,,,,
491, per annum,"8,000,000", Flat / Apartment," Off Adeola Adeku, Victoria Island (VI), Lagos", 1310339, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,, Serviced," ₦1,500,000 ",,,
492, per annum,"3,800,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310337, 05 May 2022, 05 May 2022, Available, 3,,,,,,,,,
493, per annum,"2,000,000", Flat / Apartment," Ilasan, Lekki, Lagos", 1310334, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,,,,,,
494, per annum,"3,500,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310330, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦700,000 per annum",,,
495, per annum,"1,000,000", Self Contain (Single Rooms)," Oniru, Victoria Island (VI), Lagos", 1310325, 05 May 2022, 05 May 2022, Available,, 1, , 1,,,,,,
496, per annum,"3,000,000", Flat / Apartment," Ali Rabiu Street, Jahi, Abuja", 1310290, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦9,000 per month",,,
497, per annum,"1,300,000", Flat / Apartment," Ogombo, Ajah, Lagos", 1310319, 05 May 2022, 05 May 2022, Available, 3, 3,, 2, 2,,,,,
498, per annum,"5,500,000", Terraced Duplex," Ikate, Lekki, Lagos", 1310317, 05 May 2022, 05 May 2022, Available, 4, 5, , 4, 3,,, 150 sqm,,
499, per annum,"1,800,000", Flat / Apartment," Ajah, Lagos", 1310306, 05 May 2022, 05 May 2022, Available, 2, 3,, 2, 2,,,,,
500, per annum,"700,000", Mini Flat (Room and Parlour)," Lekkischeme2, Ajah, Lagos", 1310303, 05 May 2022, 05 May 2022, Available, 1, 1,, 1, 1,,,,,
501, per annum,"6,000,000", Terraced Duplex," Lekki, Lekki Phase 1, Lekki, Lagos", 1310284, 05 May 2022, 05 May 2022, Available, 4, 5, , 4,, Serviced," ₦1,000,000 per annum",,,
502, per annum,"3,000,000", Semi-detached Duplex," Crown Estate Sangotedo, Ajah, Lekki, Lagos", 1310283, 05 May 2022, 05 May 2022, Available, 5, 6,, 5,, Serviced,,,,
503, per annum,"800,000", Flat / Apartment," Lakowe, Ibeju Lekki, Lagos", 1310277, 05 May 2022, 05 May 2022, Available, 2, 3, , 2, 2, Serviced," ₦78,000 per annum",,,
504, per annum,"1,400,000", Self Contain (Single Rooms)," Lekki County Homes, Ikota, Lekki, Lagos", 1303784, 28 Apr 2022, 04 May 2022, Available,, 1, , 1, 1, Serviced," ₦150,000 per annum",,,
505, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5,, 5, 5,,,,,
506, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, , 5, 3, Serviced," ₦40,000 per month",,,
507, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, , 5,, Serviced," ₦500,000 ",,,
508, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2,, 2, 1, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
509, per annum,"750,000", Mini Flat (Room and Parlour)," Abraham Adesanya Estate, Ajah, Lagos", 1310351, 05 May 2022, 05 May 2022, Available, 1, 2, , 2,, Serviced," ₦100,000 per annum",,,
510, per annum,"2,200,000", Flat / Apartment," Ikate, Lekki, Lagos", 1310349, 05 May 2022, 05 May 2022, Available, 2, 3, , 2,,,,,,
511, per annum,"3,000,000", Terraced Duplex," Forte Contempo Estate, Ajah, Lagos", 1310347, 05 May 2022, 05 May 2022, Available, 3, 4,, 3, 2,,,,,
512, per annum,"8,000,000", Flat / Apartment," Off Adeola Adeku, Victoria Island (VI), Lagos", 1310339, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,, Serviced," ₦1,500,000 ",,,
513, per annum,"3,800,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310337, 05 May 2022, 05 May 2022, Available, 3,,,,,,,,,
514, per annum,"2,000,000", Flat / Apartment," Ilasan, Lekki, Lagos", 1310334, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,,,,,,
515, per annum,"3,500,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310330, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦700,000 per annum",,,
516, per annum,"1,000,000", Self Contain (Single Rooms)," Oniru, Victoria Island (VI), Lagos", 1310325, 05 May 2022, 05 May 2022, Available,, 1, , 1,,,,,,
517, per annum,"3,000,000", Flat / Apartment," Ali Rabiu Street, Jahi, Abuja", 1310290, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦9,000 per month",,,
518, per annum,"1,300,000", Flat / Apartment," Ogombo, Ajah, Lagos", 1310319, 05 May 2022, 05 May 2022, Available, 3, 3,, 2, 2,,,,,
519, per annum,"5,500,000", Terraced Duplex," Ikate, Lekki, Lagos", 1310317, 05 May 2022, 05 May 2022, Available, 4, 5, , 4, 3,,, 150 sqm,,
520, per annum,"1,800,000", Flat / Apartment," Ajah, Lagos", 1310306, 05 May 2022, 05 May 2022, Available, 2, 3,, 2, 2,,,,,
521, per annum,"700,000", Mini Flat (Room and Parlour)," Lekkischeme2, Ajah, Lagos", 1310303, 05 May 2022, 05 May 2022, Available, 1, 1,, 1, 1,,,,,
522, per annum,"6,000,000", Terraced Duplex," Lekki, Lekki Phase 1, Lekki, Lagos", 1310284, 05 May 2022, 05 May 2022, Available, 4, 5, , 4,, Serviced," ₦1,000,000 per annum",,,
523, per annum,"3,000,000", Semi-detached Duplex," Crown Estate Sangotedo, Ajah, Lekki, Lagos", 1310283, 05 May 2022, 05 May 2022, Available, 5, 6,, 5,, Serviced,,,,
524, per annum,"800,000", Flat / Apartment," Lakowe, Ibeju Lekki, Lagos", 1310277, 05 May 2022, 05 May 2022, Available, 2, 3, , 2, 2, Serviced," ₦78,000 per annum",,,
525, per annum,"4,500,000", Terraced Duplex," Naf Valley Estate, Asokoro District, Abuja", 1296211, 21 Apr 2022, 04 May 2022, Available, 3, 4, , 3, 1, Serviced," ₦800,000 per annum", 400 sqm, 280 sqm, Furnished
526, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5,, 5, 5,,,,,
527, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, , 5, 3, Serviced," ₦40,000 per month",,,
528, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, , 5,, Serviced," ₦500,000 ",,,
529, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2,, 2, 1, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
530, per annum,"750,000", Mini Flat (Room and Parlour)," Abraham Adesanya Estate, Ajah, Lagos", 1310351, 05 May 2022, 05 May 2022, Available, 1, 2, , 2,, Serviced," ₦100,000 per annum",,,
531, per annum,"2,200,000", Flat / Apartment," Ikate, Lekki, Lagos", 1310349, 05 May 2022, 05 May 2022, Available, 2, 3, , 2,,,,,,
532, per annum,"3,000,000", Terraced Duplex," Forte Contempo Estate, Ajah, Lagos", 1310347, 05 May 2022, 05 May 2022, Available, 3, 4,, 3, 2,,,,,
533, per annum,"8,000,000", Flat / Apartment," Off Adeola Adeku, Victoria Island (VI), Lagos", 1310339, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,, Serviced," ₦1,500,000 ",,,
534, per annum,"3,800,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310337, 05 May 2022, 05 May 2022, Available, 3,,,,,,,,,
535, per annum,"2,000,000", Flat / Apartment," Ilasan, Lekki, Lagos", 1310334, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,,,,,,
536, per annum,"3,500,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310330, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦700,000 per annum",,,
537, per annum,"1,000,000", Self Contain (Single Rooms)," Oniru, Victoria Island (VI), Lagos", 1310325, 05 May 2022, 05 May 2022, Available,, 1, , 1,,,,,,
538, per annum,"3,000,000", Flat / Apartment," Ali Rabiu Street, Jahi, Abuja", 1310290, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦9,000 per month",,,
539, per annum,"1,300,000", Flat / Apartment," Ogombo, Ajah, Lagos", 1310319, 05 May 2022, 05 May 2022, Available, 3, 3,, 2, 2,,,,,
540, per annum,"5,500,000", Terraced Duplex," Ikate, Lekki, Lagos", 1310317, 05 May 2022, 05 May 2022, Available, 4, 5, , 4, 3,,, 150 sqm,,
541, per annum,"1,800,000", Flat / Apartment," Ajah, Lagos", 1310306, 05 May 2022, 05 May 2022, Available, 2, 3,, 2, 2,,,,,
542, per annum,"700,000", Mini Flat (Room and Parlour)," Lekkischeme2, Ajah, Lagos", 1310303, 05 May 2022, 05 May 2022, Available, 1, 1,, 1, 1,,,,,
543, per annum,"6,000,000", Terraced Duplex," Lekki, Lekki Phase 1, Lekki, Lagos", 1310284, 05 May 2022, 05 May 2022, Available, 4, 5, , 4,, Serviced," ₦1,000,000 per annum",,,
544, per annum,"3,000,000", Semi-detached Duplex," Crown Estate Sangotedo, Ajah, Lekki, Lagos", 1310283, 05 May 2022, 05 May 2022, Available, 5, 6,, 5,, Serviced,,,,
545, per annum,"800,000", Flat / Apartment," Lakowe, Ibeju Lekki, Lagos", 1310277, 05 May 2022, 05 May 2022, Available, 2, 3, , 2, 2, Serviced," ₦78,000 per annum",,,
546, per annum,"4,500,000", Terraced Duplex," Naf Valley Estate, Asokoro District, Abuja", 1296211, 21 Apr 2022, 04 May 2022, Available, 3, 4, , 3, 1, Serviced," ₦800,000 per annum", 400 sqm, 280 sqm, Furnished
547, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5,, 5, 5,,,,,
548, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, , 5, 3, Serviced," ₦40,000 per month",,,
549, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, , 5,, Serviced," ₦500,000 ",,,
550, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2,, 2, 1, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
551, per annum,"750,000", Mini Flat (Room and Parlour)," Abraham Adesanya Estate, Ajah, Lagos", 1310351, 05 May 2022, 05 May 2022, Available, 1, 2, , 2,, Serviced," ₦100,000 per annum",,,
552, per annum,"2,200,000", Flat / Apartment," Ikate, Lekki, Lagos", 1310349, 05 May 2022, 05 May 2022, Available, 2, 3, , 2,,,,,,
553, per annum,"3,000,000", Terraced Duplex," Forte Contempo Estate, Ajah, Lagos", 1310347, 05 May 2022, 05 May 2022, Available, 3, 4,, 3, 2,,,,,
554, per annum,"8,000,000", Flat / Apartment," Off Adeola Adeku, Victoria Island (VI), Lagos", 1310339, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,, Serviced," ₦1,500,000 ",,,
555, per annum,"3,800,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310337, 05 May 2022, 05 May 2022, Available, 3,,,,,,,,,
556, per annum,"2,000,000", Flat / Apartment," Ilasan, Lekki, Lagos", 1310334, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,,,,,,
557, per annum,"3,500,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310330, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦700,000 per annum",,,
558, per annum,"1,000,000", Self Contain (Single Rooms)," Oniru, Victoria Island (VI), Lagos", 1310325, 05 May 2022, 05 May 2022, Available,, 1, , 1,,,,,,
559, per annum,"3,000,000", Flat / Apartment," Ali Rabiu Street, Jahi, Abuja", 1310290, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦9,000 per month",,,
560, per annum,"1,300,000", Flat / Apartment," Ogombo, Ajah, Lagos", 1310319, 05 May 2022, 05 May 2022, Available, 3, 3,, 2, 2,,,,,
561, per annum,"5,500,000", Terraced Duplex," Ikate, Lekki, Lagos", 1310317, 05 May 2022, 05 May 2022, Available, 4, 5, , 4, 3,,, 150 sqm,,
562, per annum,"1,800,000", Flat / Apartment," Ajah, Lagos", 1310306, 05 May 2022, 05 May 2022, Available, 2, 3,, 2, 2,,,,,
563, per annum,"700,000", Mini Flat (Room and Parlour)," Lekkischeme2, Ajah, Lagos", 1310303, 05 May 2022, 05 May 2022, Available, 1, 1,, 1, 1,,,,,
564, per annum,"6,000,000", Terraced Duplex," Lekki, Lekki Phase 1, Lekki, Lagos", 1310284, 05 May 2022, 05 May 2022, Available, 4, 5, , 4,, Serviced," ₦1,000,000 per annum",,,
565, per annum,"3,000,000", Semi-detached Duplex," Crown Estate Sangotedo, Ajah, Lekki, Lagos", 1310283, 05 May 2022, 05 May 2022, Available, 5, 6,, 5,, Serviced,,,,
566, per annum,"800,000", Flat / Apartment," Lakowe, Ibeju Lekki, Lagos", 1310277, 05 May 2022, 05 May 2022, Available, 2, 3, , 2, 2, Serviced," ₦78,000 per annum",,,
567, per annum,"4,500,000", Terraced Duplex," Naf Valley Estate, Asokoro District, Abuja", 1296211, 21 Apr 2022, 04 May 2022, Available, 3, 4, , 3, 1, Serviced," ₦800,000 per annum", 400 sqm, 280 sqm, Furnished
568, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5,, 5, 5,,,,,
569, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, , 5, 3, Serviced," ₦40,000 per month",,,
570, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, , 5,, Serviced," ₦500,000 ",,,
571, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2,, 2, 1, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
572, per annum,"750,000", Mini Flat (Room and Parlour)," Abraham Adesanya Estate, Ajah, Lagos", 1310351, 05 May 2022, 05 May 2022, Available, 1, 2, , 2,, Serviced," ₦100,000 per annum",,,
573, per annum,"2,200,000", Flat / Apartment," Ikate, Lekki, Lagos", 1310349, 05 May 2022, 05 May 2022, Available, 2, 3, , 2,,,,,,
574, per annum,"3,000,000", Terraced Duplex," Forte Contempo Estate, Ajah, Lagos", 1310347, 05 May 2022, 05 May 2022, Available, 3, 4,, 3, 2,,,,,
575, per annum,"8,000,000", Flat / Apartment," Off Adeola Adeku, Victoria Island (VI), Lagos", 1310339, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,, Serviced," ₦1,500,000 ",,,
576, per annum,"3,800,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310337, 05 May 2022, 05 May 2022, Available, 3,,,,,,,,,
577, per annum,"2,000,000", Flat / Apartment," Ilasan, Lekki, Lagos", 1310334, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,,,,,,
578, per annum,"3,500,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310330, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦700,000 per annum",,,
579, per annum,"1,000,000", Self Contain (Single Rooms)," Oniru, Victoria Island (VI), Lagos", 1310325, 05 May 2022, 05 May 2022, Available,, 1, , 1,,,,,,
580, per annum,"3,000,000", Flat / Apartment," Ali Rabiu Street, Jahi, Abuja", 1310290, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦9,000 per month",,,
581, per annum,"1,300,000", Flat / Apartment," Ogombo, Ajah, Lagos", 1310319, 05 May 2022, 05 May 2022, Available, 3, 3,, 2, 2,,,,,
582, per annum,"5,500,000", Terraced Duplex," Ikate, Lekki, Lagos", 1310317, 05 May 2022, 05 May 2022, Available, 4, 5, , 4, 3,,, 150 sqm,,
583, per annum,"1,800,000", Flat / Apartment," Ajah, Lagos", 1310306, 05 May 2022, 05 May 2022, Available, 2, 3,, 2, 2,,,,,
584, per annum,"700,000", Mini Flat (Room and Parlour)," Lekkischeme2, Ajah, Lagos", 1310303, 05 May 2022, 05 May 2022, Available, 1, 1,, 1, 1,,,,,
585, per annum,"6,000,000", Terraced Duplex," Lekki, Lekki Phase 1, Lekki, Lagos", 1310284, 05 May 2022, 05 May 2022, Available, 4, 5, , 4,, Serviced," ₦1,000,000 per annum",,,
586, per annum,"3,000,000", Semi-detached Duplex," Crown Estate Sangotedo, Ajah, Lekki, Lagos", 1310283, 05 May 2022, 05 May 2022, Available, 5, 6,, 5,, Serviced,,,,
587, per annum,"800,000", Flat / Apartment," Lakowe, Ibeju Lekki, Lagos", 1310277, 05 May 2022, 05 May 2022, Available, 2, 3, , 2, 2, Serviced," ₦78,000 per annum",,,
588, per annum,"1,400,000", Self Contain (Single Rooms)," Lekki County Homes, Ikota, Lekki, Lagos", 1303784, 28 Apr 2022, 04 May 2022, Available,, 1, , 1, 1, Serviced," ₦150,000 per annum",,,
589, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5,, 5, 5,,,,,
590, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, , 5, 3, Serviced," ₦40,000 per month",,,
591, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, , 5,, Serviced," ₦500,000 ",,,
592, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2,, 2, 1, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
593, per annum,"750,000", Mini Flat (Room and Parlour)," Abraham Adesanya Estate, Ajah, Lagos", 1310351, 05 May 2022, 05 May 2022, Available, 1, 2, , 2,, Serviced," ₦100,000 per annum",,,
594, per annum,"2,200,000", Flat / Apartment," Ikate, Lekki, Lagos", 1310349, 05 May 2022, 05 May 2022, Available, 2, 3, , 2,,,,,,
