,Period,Price,Type,Location,Property Ref,Added On,Last Updated,Market Status,Parking Spaces,Bedrooms,Bathrooms,Toilets,   ,Servicing,Service Charge,Total Area,Covered Area,Furnishing
4586, per annum,"2,700,000", Semi-detached Duplex," Mobil Road, Ajah, Lagos", 1310903, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
4587, per annum,"1,400,000", Flat / Apartment," Ikota Royal Estate, Lekki, Lagos", 1310899, 06 May 2022, 06 May 2022, Available,, 2, 2,, ,,,,,
4588, per annum,"4,500,000", Semi-detached Duplex," Orchid, Lekki, Lagos", 1310883, 06 May 2022, 06 May 2022, Available,, 4, 4, 4, ,,,,,
4589, per annum,"3,500,000", Flat / Apartment," Wuye, Wuye, Abuja", 1310881, 06 May 2022, 06 May 2022, Available, 5, 3, 4, 4,,,,,,
4590, per annum,"3,000,000", Terraced Duplex," Gwarinpa, Abuja", 1310851, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5, , Serviced," ₦15,000 per month",,,
4591, per annum,"2,000,000", Flat / Apartment," 2nd Avenue, Gwarinpa, Abuja", 1310849, 06 May 2022, 06 May 2022, Available,, 2, 2, 3, ,,,,,
4592, per annum,"800,000", Flat / Apartment," Gabriel Ave Opposite Naf Harmony Estate Rukpakulusi, Rukpakulusi, Port Harcourt, Rivers", 1310848, 06 May 2022, 06 May 2022, Available, 8, 2, 3, 3, ,,, 466 sqm, 359 sqm,
4593, per annum,"8,000,000", Flat / Apartment," Guzape District, Abuja", 984095, 22 Jun 2021, 06 Apr 2022, Available, 3, 3, 3, 4, , Serviced,,,, Furnished
4594, per annum,"3,500,000", Terraced Duplex," Orchid Road, Lekki, Lagos", 1310835, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
4595, per annum,"2,500,000", Flat / Apartment," By Gilmore, Jahi, Abuja", 1309952, 05 May 2022, 05 May 2022, Available, 2, 2, 2, 3, , Serviced," ₦500,000 per annum",,,
4596, per annum,"2,500,000", Flat / Apartment," Inside Chevy View Estate, Lekki, Lagos", 1310208, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 3,,,,,,
4597, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 5, 4, 5, 5,,,,,,
4598, per annum,"3,500,000", Terraced Duplex," Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 3, 4, 5, 5, , Serviced," ₦40,000 per month",,,
4599, per annum,"8,000,000", Terraced Duplex," Oniru, Victoria Island (VI), Lagos", 1243809, 02 Mar 2022, 11 Apr 2022, Available,, 5, 5, 6, ,,,,,
4600, per annum,"17,000,000", Commercial Land," Water Corporation Drive, Oniru, Victoria Island (VI), Lagos", 1304316, 28 Apr 2022, 06 May 2022, Available, 15,,,, ,,," 1,277 sqm", 68 sqm,
4601, per annum,"1,300,000", Flat / Apartment," In An Estate Around Lbs Area, Olokonla, Ajah, Lagos", 1310917, 06 May 2022, 06 May 2022, Available, 2, 2, 2, 3, ,,, 650 sqm, 500 sqm,
4602, per annum,"3,000,000", Flat / Apartment," Osapa, Lekki, Lagos", 1310915, 06 May 2022, 06 May 2022, Available, 2, 3, 3, 4, , Serviced," ₦500,000 per annum",,,
4603, per annum,"2,500,000", Flat / Apartment," Osapa London, Osapa, Lekki, Lagos", 1310913, 06 May 2022, 06 May 2022, Available, 2, 2, 2, 3, , Serviced," ₦500,000 "," 1,900 sqm"," 1,500 sqm",
4604, per annum,"3,000,000", Flat / Apartment," Osapa London, Osapa, Lekki, Lagos", 1310911, 06 May 2022, 06 May 2022, Available, 2, 3, 3, 4, , Serviced," ₦500,000 per annum"," 1,900 sqm"," 1,500 sqm",
4605, per annum,"1,200,000", Flat / Apartment," Estate In Abijo After Crown Estate After Majek, Sangotedo, Ajah, Lagos", 1310906, 06 May 2022, 06 May 2022, Available, 3, 3, 3, 4, ,,, 650 sqm, 400 sqm,
4606, per annum,"1,000,000", Flat / Apartment," Estate Around Lbs Area, Olokonla, Ajah, Lagos", 1310910, 06 May 2022, 06 May 2022, Available, 2, 2, 2, 3, ,,, 650 sqm, 400 sqm,
4607, per annum,"2,700,000", Semi-detached Duplex," Mobil Road, Ajah, Lagos", 1310903, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
4608, per annum,"1,400,000", Flat / Apartment," Ikota Royal Estate, Lekki, Lagos", 1310899, 06 May 2022, 06 May 2022, Available,, 2, 2,, ,,,,,
4609, per annum,"4,500,000", Semi-detached Duplex," Orchid, Lekki, Lagos", 1310883, 06 May 2022, 06 May 2022, Available,, 4, 4, 4, ,,,,,
4610, per annum,"3,500,000", Flat / Apartment," Wuye, Wuye, Abuja", 1310881, 06 May 2022, 06 May 2022, Available, 5, 3, 4, 4,,,,,,
4611, per annum,"3,000,000", Terraced Duplex," Gwarinpa, Abuja", 1310851, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5, , Serviced," ₦15,000 per month",,,
4612, per annum,"2,000,000", Flat / Apartment," 2nd Avenue, Gwarinpa, Abuja", 1310849, 06 May 2022, 06 May 2022, Available,, 2, 2, 3, ,,,,,
4613, per annum,"800,000", Flat / Apartment," Gabriel Ave Opposite Naf Harmony Estate Rukpakulusi, Rukpakulusi, Port Harcourt, Rivers", 1310848, 06 May 2022, 06 May 2022, Available, 8, 2, 3, 3, ,,, 466 sqm, 359 sqm,
4614, per annum,"8,000,000", Flat / Apartment," Guzape District, Abuja", 984095, 22 Jun 2021, 06 Apr 2022, Available, 3, 3, 3, 4, , Serviced,,,, Furnished
4615, per annum,"3,500,000", Terraced Duplex," Orchid Road, Lekki, Lagos", 1310835, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
4616, per annum,"2,500,000", Flat / Apartment," By Gilmore, Jahi, Abuja", 1309952, 05 May 2022, 05 May 2022, Available, 2, 2, 2, 3, , Serviced," ₦500,000 per annum",,,
4617, per annum,"2,500,000", Flat / Apartment," Inside Chevy View Estate, Lekki, Lagos", 1310208, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 3,,,,,,
4618, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 5, 4, 5, 5,,,,,,
4619, per annum,"3,500,000", Terraced Duplex," Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 3, 4, 5, 5, , Serviced," ₦40,000 per month",,,
4620, per day,"50,000", Conference / Meeting / Training Room," 21, Ogunnusi Road., Ogba, Ikeja, Lagos", 1220208, 07 Feb 2022, 07 Feb 2022, Available, 120,,,,,,,,,
4621, per annum,"17,000,000", Commercial Land," Water Corporation Drive, Oniru, Victoria Island (VI), Lagos", 1304316, 28 Apr 2022, 06 May 2022, Available, 15,,,, ,,," 1,277 sqm", 68 sqm,
4622, per annum,"1,300,000", Flat / Apartment," In An Estate Around Lbs Area, Olokonla, Ajah, Lagos", 1310917, 06 May 2022, 06 May 2022, Available, 2, 2, 2, 3, ,,, 650 sqm, 500 sqm,
4623, per annum,"3,000,000", Flat / Apartment," Osapa, Lekki, Lagos", 1310915, 06 May 2022, 06 May 2022, Available, 2, 3, 3, 4, , Serviced," ₦500,000 per annum",,,
4624, per annum,"2,500,000", Flat / Apartment," Osapa London, Osapa, Lekki, Lagos", 1310913, 06 May 2022, 06 May 2022, Available, 2, 2, 2, 3, , Serviced," ₦500,000 "," 1,900 sqm"," 1,500 sqm",
4625, per annum,"3,000,000", Flat / Apartment," Osapa London, Osapa, Lekki, Lagos", 1310911, 06 May 2022, 06 May 2022, Available, 2, 3, 3, 4, , Serviced," ₦500,000 per annum"," 1,900 sqm"," 1,500 sqm",
4626, per annum,"1,200,000", Flat / Apartment," Estate In Abijo After Crown Estate After Majek, Sangotedo, Ajah, Lagos", 1310906, 06 May 2022, 06 May 2022, Available, 3, 3, 3, 4, ,,, 650 sqm, 400 sqm,
4627, per annum,"1,000,000", Flat / Apartment," Estate Around Lbs Area, Olokonla, Ajah, Lagos", 1310910, 06 May 2022, 06 May 2022, Available, 2, 2, 2, 3, ,,, 650 sqm, 400 sqm,
4628, per annum,"2,700,000", Semi-detached Duplex," Mobil Road, Ajah, Lagos", 1310903, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
4629, per annum,"1,400,000", Flat / Apartment," Ikota Royal Estate, Lekki, Lagos", 1310899, 06 May 2022, 06 May 2022, Available,, 2, 2,, ,,,,,
4630, per annum,"4,500,000", Semi-detached Duplex," Orchid, Lekki, Lagos", 1310883, 06 May 2022, 06 May 2022, Available,, 4, 4, 4, ,,,,,
4631, per annum,"3,500,000", Flat / Apartment," Wuye, Wuye, Abuja", 1310881, 06 May 2022, 06 May 2022, Available, 5, 3, 4, 4,,,,,,
4632, per annum,"3,000,000", Terraced Duplex," Gwarinpa, Abuja", 1310851, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5, , Serviced," ₦15,000 per month",,,
4633, per annum,"2,000,000", Flat / Apartment," 2nd Avenue, Gwarinpa, Abuja", 1310849, 06 May 2022, 06 May 2022, Available,, 2, 2, 3, ,,,,,
4634, per annum,"800,000", Flat / Apartment," Gabriel Ave Opposite Naf Harmony Estate Rukpakulusi, Rukpakulusi, Port Harcourt, Rivers", 1310848, 06 May 2022, 06 May 2022, Available, 8, 2, 3, 3, ,,, 466 sqm, 359 sqm,
4635, per annum,"8,000,000", Flat / Apartment," Guzape District, Abuja", 984095, 22 Jun 2021, 06 Apr 2022, Available, 3, 3, 3, 4, , Serviced,,,, Furnished
4636, per annum,"3,500,000", Terraced Duplex," Orchid Road, Lekki, Lagos", 1310835, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
4637, per annum,"2,500,000", Flat / Apartment," By Gilmore, Jahi, Abuja", 1309952, 05 May 2022, 05 May 2022, Available, 2, 2, 2, 3, , Serviced," ₦500,000 per annum",,,
4638, per annum,"2,500,000", Flat / Apartment," Inside Chevy View Estate, Lekki, Lagos", 1310208, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 3,,,,,,
4639, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 5, 4, 5, 5,,,,,,
4640, per annum,"3,500,000", Terraced Duplex," Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 3, 4, 5, 5, , Serviced," ₦40,000 per month",,,
4641, per annum,"3,000,000", Terraced Duplex," Amity Estate, Sangotedo, Ajah, Lagos", 979164, 17 Jun 2021, 04 May 2022, Available, 2, 3, 3, 4,,,,,,
4642, per annum,"17,000,000", Commercial Land," Water Corporation Drive, Oniru, Victoria Island (VI), Lagos", 1304316, 28 Apr 2022, 06 May 2022, Available, 15,,,, ,,," 1,277 sqm", 68 sqm,
4643, per annum,"1,300,000", Flat / Apartment," In An Estate Around Lbs Area, Olokonla, Ajah, Lagos", 1310917, 06 May 2022, 06 May 2022, Available, 2, 2, 2, 3, ,,, 650 sqm, 500 sqm,
4644, per annum,"3,000,000", Flat / Apartment," Osapa, Lekki, Lagos", 1310915, 06 May 2022, 06 May 2022, Available, 2, 3, 3, 4, , Serviced," ₦500,000 per annum",,,
4645, per annum,"2,500,000", Flat / Apartment," Osapa London, Osapa, Lekki, Lagos", 1310913, 06 May 2022, 06 May 2022, Available, 2, 2, 2, 3, , Serviced," ₦500,000 "," 1,900 sqm"," 1,500 sqm",
4646, per annum,"3,000,000", Flat / Apartment," Osapa London, Osapa, Lekki, Lagos", 1310911, 06 May 2022, 06 May 2022, Available, 2, 3, 3, 4, , Serviced," ₦500,000 per annum"," 1,900 sqm"," 1,500 sqm",
4647, per annum,"1,200,000", Flat / Apartment," Estate In Abijo After Crown Estate After Majek, Sangotedo, Ajah, Lagos", 1310906, 06 May 2022, 06 May 2022, Available, 3, 3, 3, 4, ,,, 650 sqm, 400 sqm,
4648, per annum,"1,000,000", Flat / Apartment," Estate Around Lbs Area, Olokonla, Ajah, Lagos", 1310910, 06 May 2022, 06 May 2022, Available, 2, 2, 2, 3, ,,, 650 sqm, 400 sqm,
4649, per annum,"2,700,000", Semi-detached Duplex," Mobil Road, Ajah, Lagos", 1310903, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
4650, per annum,"1,400,000", Flat / Apartment," Ikota Royal Estate, Lekki, Lagos", 1310899, 06 May 2022, 06 May 2022, Available,, 2, 2,, ,,,,,
4651, per annum,"4,500,000", Semi-detached Duplex," Orchid, Lekki, Lagos", 1310883, 06 May 2022, 06 May 2022, Available,, 4, 4, 4, ,,,,,
4652, per annum,"3,500,000", Flat / Apartment," Wuye, Wuye, Abuja", 1310881, 06 May 2022, 06 May 2022, Available, 5, 3, 4, 4,,,,,,
4653, per annum,"3,000,000", Terraced Duplex," Gwarinpa, Abuja", 1310851, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5, , Serviced," ₦15,000 per month",,,
4654, per annum,"2,000,000", Flat / Apartment," 2nd Avenue, Gwarinpa, Abuja", 1310849, 06 May 2022, 06 May 2022, Available,, 2, 2, 3, ,,,,,
4655, per annum,"800,000", Flat / Apartment," Gabriel Ave Opposite Naf Harmony Estate Rukpakulusi, Rukpakulusi, Port Harcourt, Rivers", 1310848, 06 May 2022, 06 May 2022, Available, 8, 2, 3, 3, ,,, 466 sqm, 359 sqm,
4656, per annum,"8,000,000", Flat / Apartment," Guzape District, Abuja", 984095, 22 Jun 2021, 06 Apr 2022, Available, 3, 3, 3, 4, , Serviced,,,, Furnished
4657, per annum,"3,500,000", Terraced Duplex," Orchid Road, Lekki, Lagos", 1310835, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
4658, per annum,"2,500,000", Flat / Apartment," By Gilmore, Jahi, Abuja", 1309952, 05 May 2022, 05 May 2022, Available, 2, 2, 2, 3, , Serviced," ₦500,000 per annum",,,
4659, per annum,"2,500,000", Flat / Apartment," Inside Chevy View Estate, Lekki, Lagos", 1310208, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 3,,,,,,
4660, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 5, 4, 5, 5,,,,,,
4661, per annum,"3,500,000", Terraced Duplex," Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 3, 4, 5, 5, , Serviced," ₦40,000 per month",,,
4662, per annum,"3,000,000", Terraced Duplex," Amity Estate, Sangotedo, Ajah, Lagos", 979164, 17 Jun 2021, 04 May 2022, Available, 2, 3, 3, 4,,,,,,
4663, per annum,"17,000,000", Commercial Land," Water Corporation Drive, Oniru, Victoria Island (VI), Lagos", 1304316, 28 Apr 2022, 06 May 2022, Available, 15,,,, ,,," 1,277 sqm", 68 sqm,
4664, per annum,"1,300,000", Flat / Apartment," In An Estate Around Lbs Area, Olokonla, Ajah, Lagos", 1310917, 06 May 2022, 06 May 2022, Available, 2, 2, 2, 3, ,,, 650 sqm, 500 sqm,
4665, per annum,"3,000,000", Flat / Apartment," Osapa, Lekki, Lagos", 1310915, 06 May 2022, 06 May 2022, Available, 2, 3, 3, 4, , Serviced," ₦500,000 per annum",,,
4666, per annum,"2,500,000", Flat / Apartment," Osapa London, Osapa, Lekki, Lagos", 1310913, 06 May 2022, 06 May 2022, Available, 2, 2, 2, 3, , Serviced," ₦500,000 "," 1,900 sqm"," 1,500 sqm",
4667, per annum,"3,000,000", Flat / Apartment," Osapa London, Osapa, Lekki, Lagos", 1310911, 06 May 2022, 06 May 2022, Available, 2, 3, 3, 4, , Serviced," ₦500,000 per annum"," 1,900 sqm"," 1,500 sqm",
4668, per annum,"1,200,000", Flat / Apartment," Estate In Abijo After Crown Estate After Majek, Sangotedo, Ajah, Lagos", 1310906, 06 May 2022, 06 May 2022, Available, 3, 3, 3, 4, ,,, 650 sqm, 400 sqm,
4669, per annum,"1,000,000", Flat / Apartment," Estate Around Lbs Area, Olokonla, Ajah, Lagos", 1310910, 06 May 2022, 06 May 2022, Available, 2, 2, 2, 3, ,,, 650 sqm, 400 sqm,
4670, per annum,"2,700,000", Semi-detached Duplex," Mobil Road, Ajah, Lagos", 1310903, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
4671, per annum,"1,400,000", Flat / Apartment," Ikota Royal Estate, Lekki, Lagos", 1310899, 06 May 2022, 06 May 2022, Available,, 2, 2,, ,,,,,
4672, per annum,"4,500,000", Semi-detached Duplex," Orchid, Lekki, Lagos", 1310883, 06 May 2022, 06 May 2022, Available,, 4, 4, 4, ,,,,,
4673, per annum,"3,500,000", Flat / Apartment," Wuye, Wuye, Abuja", 1310881, 06 May 2022, 06 May 2022, Available, 5, 3, 4, 4,,,,,,
4674, per annum,"3,000,000", Terraced Duplex," Gwarinpa, Abuja", 1310851, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5, , Serviced," ₦15,000 per month",,,
4675, per annum,"2,000,000", Flat / Apartment," 2nd Avenue, Gwarinpa, Abuja", 1310849, 06 May 2022, 06 May 2022, Available,, 2, 2, 3, ,,,,,
4676, per annum,"800,000", Flat / Apartment," Gabriel Ave Opposite Naf Harmony Estate Rukpakulusi, Rukpakulusi, Port Harcourt, Rivers", 1310848, 06 May 2022, 06 May 2022, Available, 8, 2, 3, 3, ,,, 466 sqm, 359 sqm,
4677, per annum,"8,000,000", Flat / Apartment," Guzape District, Abuja", 984095, 22 Jun 2021, 06 Apr 2022, Available, 3, 3, 3, 4, , Serviced,,,, Furnished
4678, per annum,"3,500,000", Terraced Duplex," Orchid Road, Lekki, Lagos", 1310835, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
4679, per annum,"2,500,000", Flat / Apartment," By Gilmore, Jahi, Abuja", 1309952, 05 May 2022, 05 May 2022, Available, 2, 2, 2, 3, , Serviced," ₦500,000 per annum",,,
4680, per annum,"2,500,000", Flat / Apartment," Inside Chevy View Estate, Lekki, Lagos", 1310208, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 3,,,,,,
4681, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 5, 4, 5, 5,,,,,,
4682, per annum,"3,500,000", Terraced Duplex," Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 3, 4, 5, 5, , Serviced," ₦40,000 per month",,,
4683, per annum,"3,000,000", Terraced Duplex," Amity Estate, Sangotedo, Ajah, Lagos", 979164, 17 Jun 2021, 04 May 2022, Available, 2, 3, 3, 4,,,,,,
4684, per annum,"17,000,000", Commercial Land," Water Corporation Drive, Oniru, Victoria Island (VI), Lagos", 1304316, 28 Apr 2022, 06 May 2022, Available, 15,,,, ,,," 1,277 sqm", 68 sqm,
4685, per annum,"1,300,000", Flat / Apartment," In An Estate Around Lbs Area, Olokonla, Ajah, Lagos", 1310917, 06 May 2022, 06 May 2022, Available, 2, 2, 2, 3, ,,, 650 sqm, 500 sqm,
4686, per annum,"3,000,000", Flat / Apartment," Osapa, Lekki, Lagos", 1310915, 06 May 2022, 06 May 2022, Available, 2, 3, 3, 4, , Serviced," ₦500,000 per annum",,,
4687, per annum,"2,500,000", Flat / Apartment," Osapa London, Osapa, Lekki, Lagos", 1310913, 06 May 2022, 06 May 2022, Available, 2, 2, 2, 3, , Serviced," ₦500,000 "," 1,900 sqm"," 1,500 sqm",
4688, per annum,"3,000,000", Flat / Apartment," Osapa London, Osapa, Lekki, Lagos", 1310911, 06 May 2022, 06 May 2022, Available, 2, 3, 3, 4, , Serviced," ₦500,000 per annum"," 1,900 sqm"," 1,500 sqm",
4689, per annum,"1,200,000", Flat / Apartment," Estate In Abijo After Crown Estate After Majek, Sangotedo, Ajah, Lagos", 1310906, 06 May 2022, 06 May 2022, Available, 3, 3, 3, 4, ,,, 650 sqm, 400 sqm,
4690, per annum,"1,000,000", Flat / Apartment," Estate Around Lbs Area, Olokonla, Ajah, Lagos", 1310910, 06 May 2022, 06 May 2022, Available, 2, 2, 2, 3, ,,, 650 sqm, 400 sqm,
4691, per annum,"2,700,000", Semi-detached Duplex," Mobil Road, Ajah, Lagos", 1310903, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
4692, per annum,"1,400,000", Flat / Apartment," Ikota Royal Estate, Lekki, Lagos", 1310899, 06 May 2022, 06 May 2022, Available,, 2, 2,, ,,,,,
4693, per annum,"4,500,000", Semi-detached Duplex," Orchid, Lekki, Lagos", 1310883, 06 May 2022, 06 May 2022, Available,, 4, 4, 4, ,,,,,
4694, per annum,"3,500,000", Flat / Apartment," Wuye, Wuye, Abuja", 1310881, 06 May 2022, 06 May 2022, Available, 5, 3, 4, 4,,,,,,
4695, per annum,"3,000,000", Terraced Duplex," Gwarinpa, Abuja", 1310851, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5, , Serviced," ₦15,000 per month",,,
4696, per annum,"2,000,000", Flat / Apartment," 2nd Avenue, Gwarinpa, Abuja", 1310849, 06 May 2022, 06 May 2022, Available,, 2, 2, 3, ,,,,,
4697, per annum,"800,000", Flat / Apartment," Gabriel Ave Opposite Naf Harmony Estate Rukpakulusi, Rukpakulusi, Port Harcourt, Rivers", 1310848, 06 May 2022, 06 May 2022, Available, 8, 2, 3, 3, ,,, 466 sqm, 359 sqm,
4698, per annum,"8,000,000", Flat / Apartment," Guzape District, Abuja", 984095, 22 Jun 2021, 06 Apr 2022, Available, 3, 3, 3, 4, , Serviced,,,, Furnished
4699, per annum,"3,500,000", Terraced Duplex," Orchid Road, Lekki, Lagos", 1310835, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
4700, per annum,"2,500,000", Flat / Apartment," By Gilmore, Jahi, Abuja", 1309952, 05 May 2022, 05 May 2022, Available, 2, 2, 2, 3, , Serviced," ₦500,000 per annum",,,
4701, per annum,"2,500,000", Flat / Apartment," Inside Chevy View Estate, Lekki, Lagos", 1310208, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 3,,,,,,
4702, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 5, 4, 5, 5,,,,,,
4703, per annum,"3,500,000", Terraced Duplex," Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 3, 4, 5, 5, , Serviced," ₦40,000 per month",,,
4704, per annum,"3,000,000", Office Space," Sokode Crescent, Zone 5, Wuse, Abuja", 638787, 05 Jun 2020, 27 Apr 2022, Available, 30,,, 5, , Serviced," ₦240,000 per annum",,, Furnished
4705, per annum,"17,000,000", Commercial Land," Water Corporation Drive, Oniru, Victoria Island (VI), Lagos", 1304316, 28 Apr 2022, 06 May 2022, Available, 15,,,, ,,," 1,277 sqm", 68 sqm,
4706, per annum,"1,300,000", Flat / Apartment," In An Estate Around Lbs Area, Olokonla, Ajah, Lagos", 1310917, 06 May 2022, 06 May 2022, Available, 2, 2, 2, 3, ,,, 650 sqm, 500 sqm,
4707, per annum,"3,000,000", Flat / Apartment," Osapa, Lekki, Lagos", 1310915, 06 May 2022, 06 May 2022, Available, 2, 3, 3, 4, , Serviced," ₦500,000 per annum",,,
4708, per annum,"2,500,000", Flat / Apartment," Osapa London, Osapa, Lekki, Lagos", 1310913, 06 May 2022, 06 May 2022, Available, 2, 2, 2, 3, , Serviced," ₦500,000 "," 1,900 sqm"," 1,500 sqm",
4709, per annum,"3,000,000", Flat / Apartment," Osapa London, Osapa, Lekki, Lagos", 1310911, 06 May 2022, 06 May 2022, Available, 2, 3, 3, 4, , Serviced," ₦500,000 per annum"," 1,900 sqm"," 1,500 sqm",
4710, per annum,"1,200,000", Flat / Apartment," Estate In Abijo After Crown Estate After Majek, Sangotedo, Ajah, Lagos", 1310906, 06 May 2022, 06 May 2022, Available, 3, 3, 3, 4, ,,, 650 sqm, 400 sqm,
4711, per annum,"1,000,000", Flat / Apartment," Estate Around Lbs Area, Olokonla, Ajah, Lagos", 1310910, 06 May 2022, 06 May 2022, Available, 2, 2, 2, 3, ,,, 650 sqm, 400 sqm,
4712, per annum,"2,700,000", Semi-detached Duplex," Mobil Road, Ajah, Lagos", 1310903, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
4713, per annum,"1,400,000", Flat / Apartment," Ikota Royal Estate, Lekki, Lagos", 1310899, 06 May 2022, 06 May 2022, Available,, 2, 2,, ,,,,,
4714, per annum,"4,500,000", Semi-detached Duplex," Orchid, Lekki, Lagos", 1310883, 06 May 2022, 06 May 2022, Available,, 4, 4, 4, ,,,,,
4715, per annum,"3,500,000", Flat / Apartment," Wuye, Wuye, Abuja", 1310881, 06 May 2022, 06 May 2022, Available, 5, 3, 4, 4,,,,,,
4716, per annum,"3,000,000", Terraced Duplex," Gwarinpa, Abuja", 1310851, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5, , Serviced," ₦15,000 per month",,,
4717, per annum,"2,000,000", Flat / Apartment," 2nd Avenue, Gwarinpa, Abuja", 1310849, 06 May 2022, 06 May 2022, Available,, 2, 2, 3, ,,,,,
4718, per annum,"800,000", Flat / Apartment," Gabriel Ave Opposite Naf Harmony Estate Rukpakulusi, Rukpakulusi, Port Harcourt, Rivers", 1310848, 06 May 2022, 06 May 2022, Available, 8, 2, 3, 3, ,,, 466 sqm, 359 sqm,
4719, per annum,"8,000,000", Flat / Apartment," Guzape District, Abuja", 984095, 22 Jun 2021, 06 Apr 2022, Available, 3, 3, 3, 4, , Serviced,,,, Furnished
4720, per annum,"3,500,000", Terraced Duplex," Orchid Road, Lekki, Lagos", 1310835, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
4721, per annum,"2,500,000", Flat / Apartment," By Gilmore, Jahi, Abuja", 1309952, 05 May 2022, 05 May 2022, Available, 2, 2, 2, 3, , Serviced," ₦500,000 per annum",,,
4722, per annum,"2,500,000", Flat / Apartment," Inside Chevy View Estate, Lekki, Lagos", 1310208, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 3,,,,,,
4723, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 5, 4, 5, 5,,,,,,
4724, per annum,"3,500,000", Terraced Duplex," Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 3, 4, 5, 5, , Serviced," ₦40,000 per month",,,
4725, per annum,"3,000,000", Terraced Duplex," Amity Estate, Sangotedo, Ajah, Lagos", 979164, 17 Jun 2021, 04 May 2022, Available, 2, 3, 3, 4,,,,,,
4726, per annum,"17,000,000", Commercial Land," Water Corporation Drive, Oniru, Victoria Island (VI), Lagos", 1304316, 28 Apr 2022, 06 May 2022, Available, 15,,,, ,,," 1,277 sqm", 68 sqm,
4727, per annum,"1,300,000", Flat / Apartment," In An Estate Around Lbs Area, Olokonla, Ajah, Lagos", 1310917, 06 May 2022, 06 May 2022, Available, 2, 2, 2, 3, ,,, 650 sqm, 500 sqm,
4728, per annum,"3,000,000", Flat / Apartment," Osapa, Lekki, Lagos", 1310915, 06 May 2022, 06 May 2022, Available, 2, 3, 3, 4, , Serviced," ₦500,000 per annum",,,
4729, per annum,"2,500,000", Flat / Apartment," Osapa London, Osapa, Lekki, Lagos", 1310913, 06 May 2022, 06 May 2022, Available, 2, 2, 2, 3, , Serviced," ₦500,000 "," 1,900 sqm"," 1,500 sqm",
4730, per annum,"3,000,000", Flat / Apartment," Osapa London, Osapa, Lekki, Lagos", 1310911, 06 May 2022, 06 May 2022, Available, 2, 3, 3, 4, , Serviced," ₦500,000 per annum"," 1,900 sqm"," 1,500 sqm",
