,Period,Price,Type,Location,Property Ref,Added On,Last Updated,Market Status,Bedrooms,Bathrooms,Toilets,Parking Spaces,   ,Servicing,Service Charge,Furnishing,Total Area,Covered Area
456, per annum,"3,000,000", Flat / Apartment," Chevron Drive, Lekki Phase 2, Lekki, Lagos", 1311362, 06 May 2022, 06 May 2022, Available, 3, 3, 4,, ,,,,,
457, per annum,"2,500,000", Flat / Apartment," By Gilmore, Jahi, Abuja", 1311352, 06 May 2022, 06 May 2022, Available, 2, 2, 3, 5,,,,,,
458, per annum,"3,000,000", Flat / Apartment," Bera Estate, Lekki, Lagos", 1311348, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 3,,,,,,
459, per annum,"12,000,000", Flat / Apartment," Ikoyi Lagos Nigeria, Ikoyi, Lagos", 1311340, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 15, ,,,," 3,000 sqm"," 1,500 sqm"
460, per annum,"1,700,000", Self Contain (Single Rooms)," Jakande By Salem Bus Stop, Lekki, Lagos", 1311332, 06 May 2022, 06 May 2022, Available,, 1, 1, 1, , Serviced," ₦25,000 per month",,,
461, per annum,"6,500,000", Terraced Duplex," Ikeja GRA, Ikeja, Lagos", 1311331, 06 May 2022, 06 May 2022, Available, 3, 3, 4,, ,,,,,
462, per annum,"3,000,000", Terraced Duplex," Amity Estate, Sangotedo, Ajah, Lagos", 979164, 17 Jun 2021, 04 May 2022, Available, 3, 3, 4, 2,,,,,,
463, per annum,"3,500,000", House," Thomas Estate, Ajah, Lagos", 1266462, 22 Mar 2022, 06 May 2022, Available, 4,, 4,, ,,,,,
464, per annum,"5,500,000", Detached Duplex," Lafiaji, Lekki, Lagos", 1288899, 13 Apr 2022, 13 Apr 2022, Available, 4, 4, 5, 3,,,,,,
465, per annum,"5,000,000", Detached Duplex," Ikota, Lekki, Lagos", 1302534, 27 Apr 2022, 27 Apr 2022, Available, 4, 6, 5, 3,,,,,,
466, per annum,"900,000", Flat / Apartment," Before Lagos Business School, Olokonla, Ajah, Lagos", 1311278, 06 May 2022, 06 May 2022, Available, 2, 2, 3, 3,,,,,,
467, per annum,"1,500,000", Flat / Apartment," Market Square, Ago Palace, Isolo, Lagos", 1237807, 24 Feb 2022, 06 May 2022, Available, 2, 3, 3,, ,,,,,
468, per annum,"1,200,000", Flat / Apartment," Off Grandmate, Ago Palace, Isolo, Lagos", 1252782, 09 Mar 2022, 06 May 2022, Available, 2, 3, 3,, ,,,,,
469, per annum,"3,000,000", Flat / Apartment," Oniru Estate, Oniru, Victoria Island (VI), Lagos", 1311391, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 2, , Serviced," ₦2,015,000 per annum",,,
470, per annum,"2,700,000", Flat / Apartment," Glory Court Estate, Omole Phase 1, Ikeja, Lagos", 1311390, 06 May 2022, 06 May 2022, Available, 3, 3, 4,, ,,,,,
471, per annum,"8,000,000", Semi-detached Duplex," Sonibare Estate , Ikeja Gra Extension, Ikeja GRA, Ikeja, Lagos", 1311378, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 5,, Serviced," ₦2,500,000 per annum", Furnished,,
472, per annum,"20,000,000", Detached Duplex," By Governors Lodges., Asokoro District, Abuja", 1311386, 06 May 2022, 06 May 2022, Available, 8, 8, 9,, ,,,,,
473, per annum,"5,000,000", Detached Duplex," Oral Estate, Lekki, Lagos", 1311377, 06 May 2022, 06 May 2022, Available, 5, 5, 6, 4,,,,,,
474, per annum,"6,000,000", House," Adeniyi Jones, Ikeja, Lagos", 1311368, 06 May 2022, 06 May 2022, Available, 5, 5, 6,, ,,,,,
475, per annum,"1,100,000", Mini Flat (Room and Parlour)," Ikate Elegushi, Lekki, Lagos", 1311365, 06 May 2022, 06 May 2022, Available, 1,,,,,,,,,
476, per annum,"400,000", Self Contain (Single Rooms)," Therra Zone Peace Estate, Sangotedo, Ajah, Lagos", 1311364, 06 May 2022, 06 May 2022, Available,, 4, 4,, ,,,,,
477, per annum,"3,000,000", Flat / Apartment," Chevron Drive, Lekki Phase 2, Lekki, Lagos", 1311362, 06 May 2022, 06 May 2022, Available, 3, 3, 4,, ,,,,,
478, per annum,"2,500,000", Flat / Apartment," By Gilmore, Jahi, Abuja", 1311352, 06 May 2022, 06 May 2022, Available, 2, 2, 3, 5,,,,,,
479, per annum,"3,000,000", Flat / Apartment," Bera Estate, Lekki, Lagos", 1311348, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 3,,,,,,
480, per annum,"12,000,000", Flat / Apartment," Ikoyi Lagos Nigeria, Ikoyi, Lagos", 1311340, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 15, ,,,," 3,000 sqm"," 1,500 sqm"
481, per annum,"1,700,000", Self Contain (Single Rooms)," Jakande By Salem Bus Stop, Lekki, Lagos", 1311332, 06 May 2022, 06 May 2022, Available,, 1, 1, 1, , Serviced," ₦25,000 per month",,,
482, per annum,"6,500,000", Terraced Duplex," Ikeja GRA, Ikeja, Lagos", 1311331, 06 May 2022, 06 May 2022, Available, 3, 3, 4,, ,,,,,
483, per annum,"6,000,000", Flat / Apartment," Dideolu Estate, Off Ligali Ayorinde, Victoria Island (VI), Lagos", 838601, 22 Jan 2021, 05 May 2022, Available, 3, 3, 4, 2, , Serviced," ₦2,500,000 per annum",,,
484, per annum,"3,500,000", House," Thomas Estate, Ajah, Lagos", 1266462, 22 Mar 2022, 06 May 2022, Available, 4,, 4,, ,,,,,
485, per annum,"5,500,000", Detached Duplex," Lafiaji, Lekki, Lagos", 1288899, 13 Apr 2022, 13 Apr 2022, Available, 4, 4, 5, 3,,,,,,
486, per annum,"5,000,000", Detached Duplex," Ikota, Lekki, Lagos", 1302534, 27 Apr 2022, 27 Apr 2022, Available, 4, 6, 5, 3,,,,,,
487, per annum,"900,000", Flat / Apartment," Before Lagos Business School, Olokonla, Ajah, Lagos", 1311278, 06 May 2022, 06 May 2022, Available, 2, 2, 3, 3,,,,,,
488, per annum,"1,500,000", Flat / Apartment," Market Square, Ago Palace, Isolo, Lagos", 1237807, 24 Feb 2022, 06 May 2022, Available, 2, 3, 3,, ,,,,,
489, per annum,"1,200,000", Flat / Apartment," Off Grandmate, Ago Palace, Isolo, Lagos", 1252782, 09 Mar 2022, 06 May 2022, Available, 2, 3, 3,, ,,,,,
490, per annum,"3,000,000", Flat / Apartment," Oniru Estate, Oniru, Victoria Island (VI), Lagos", 1311391, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 2, , Serviced," ₦2,015,000 per annum",,,
491, per annum,"2,700,000", Flat / Apartment," Glory Court Estate, Omole Phase 1, Ikeja, Lagos", 1311390, 06 May 2022, 06 May 2022, Available, 3, 3, 4,, ,,,,,
492, per annum,"8,000,000", Semi-detached Duplex," Sonibare Estate , Ikeja Gra Extension, Ikeja GRA, Ikeja, Lagos", 1311378, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 5,, Serviced," ₦2,500,000 per annum", Furnished,,
493, per annum,"20,000,000", Detached Duplex," By Governors Lodges., Asokoro District, Abuja", 1311386, 06 May 2022, 06 May 2022, Available, 8, 8, 9,, ,,,,,
494, per annum,"5,000,000", Detached Duplex," Oral Estate, Lekki, Lagos", 1311377, 06 May 2022, 06 May 2022, Available, 5, 5, 6, 4,,,,,,
495, per annum,"6,000,000", House," Adeniyi Jones, Ikeja, Lagos", 1311368, 06 May 2022, 06 May 2022, Available, 5, 5, 6,, ,,,,,
496, per annum,"1,100,000", Mini Flat (Room and Parlour)," Ikate Elegushi, Lekki, Lagos", 1311365, 06 May 2022, 06 May 2022, Available, 1,,,,,,,,,
497, per annum,"400,000", Self Contain (Single Rooms)," Therra Zone Peace Estate, Sangotedo, Ajah, Lagos", 1311364, 06 May 2022, 06 May 2022, Available,, 4, 4,, ,,,,,
498, per annum,"3,000,000", Flat / Apartment," Chevron Drive, Lekki Phase 2, Lekki, Lagos", 1311362, 06 May 2022, 06 May 2022, Available, 3, 3, 4,, ,,,,,
499, per annum,"2,500,000", Flat / Apartment," By Gilmore, Jahi, Abuja", 1311352, 06 May 2022, 06 May 2022, Available, 2, 2, 3, 5,,,,,,
500, per annum,"3,000,000", Flat / Apartment," Bera Estate, Lekki, Lagos", 1311348, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 3,,,,,,
501, per annum,"12,000,000", Flat / Apartment," Ikoyi Lagos Nigeria, Ikoyi, Lagos", 1311340, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 15, ,,,," 3,000 sqm"," 1,500 sqm"
502, per annum,"1,700,000", Self Contain (Single Rooms)," Jakande By Salem Bus Stop, Lekki, Lagos", 1311332, 06 May 2022, 06 May 2022, Available,, 1, 1, 1, , Serviced," ₦25,000 per month",,,
503, per annum,"6,500,000", Terraced Duplex," Ikeja GRA, Ikeja, Lagos", 1311331, 06 May 2022, 06 May 2022, Available, 3, 3, 4,, ,,,,,
504, per day,"50,000", Conference / Meeting / Training Room," 21, Ogunnusi Road., Ogba, Ikeja, Lagos", 1220208, 07 Feb 2022, 07 Feb 2022, Available,,,, 120,,,,,,
505, per annum,"3,500,000", House," Thomas Estate, Ajah, Lagos", 1266462, 22 Mar 2022, 06 May 2022, Available, 4,, 4,, ,,,,,
506, per annum,"5,500,000", Detached Duplex," Lafiaji, Lekki, Lagos", 1288899, 13 Apr 2022, 13 Apr 2022, Available, 4, 4, 5, 3,,,,,,
507, per annum,"5,000,000", Detached Duplex," Ikota, Lekki, Lagos", 1302534, 27 Apr 2022, 27 Apr 2022, Available, 4, 6, 5, 3,,,,,,
508, per annum,"900,000", Flat / Apartment," Before Lagos Business School, Olokonla, Ajah, Lagos", 1311278, 06 May 2022, 06 May 2022, Available, 2, 2, 3, 3,,,,,,
509, per annum,"1,500,000", Flat / Apartment," Market Square, Ago Palace, Isolo, Lagos", 1237807, 24 Feb 2022, 06 May 2022, Available, 2, 3, 3,, ,,,,,
510, per annum,"1,200,000", Flat / Apartment," Off Grandmate, Ago Palace, Isolo, Lagos", 1252782, 09 Mar 2022, 06 May 2022, Available, 2, 3, 3,, ,,,,,
511, per annum,"3,000,000", Flat / Apartment," Oniru Estate, Oniru, Victoria Island (VI), Lagos", 1311391, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 2, , Serviced," ₦2,015,000 per annum",,,
512, per annum,"2,700,000", Flat / Apartment," Glory Court Estate, Omole Phase 1, Ikeja, Lagos", 1311390, 06 May 2022, 06 May 2022, Available, 3, 3, 4,, ,,,,,
513, per annum,"8,000,000", Semi-detached Duplex," Sonibare Estate , Ikeja Gra Extension, Ikeja GRA, Ikeja, Lagos", 1311378, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 5,, Serviced," ₦2,500,000 per annum", Furnished,,
514, per annum,"20,000,000", Detached Duplex," By Governors Lodges., Asokoro District, Abuja", 1311386, 06 May 2022, 06 May 2022, Available, 8, 8, 9,, ,,,,,
515, per annum,"5,000,000", Detached Duplex," Oral Estate, Lekki, Lagos", 1311377, 06 May 2022, 06 May 2022, Available, 5, 5, 6, 4,,,,,,
516, per annum,"6,000,000", House," Adeniyi Jones, Ikeja, Lagos", 1311368, 06 May 2022, 06 May 2022, Available, 5, 5, 6,, ,,,,,
517, per annum,"1,100,000", Mini Flat (Room and Parlour)," Ikate Elegushi, Lekki, Lagos", 1311365, 06 May 2022, 06 May 2022, Available, 1,,,,,,,,,
518, per annum,"400,000", Self Contain (Single Rooms)," Therra Zone Peace Estate, Sangotedo, Ajah, Lagos", 1311364, 06 May 2022, 06 May 2022, Available,, 4, 4,, ,,,,,
519, per annum,"3,000,000", Flat / Apartment," Chevron Drive, Lekki Phase 2, Lekki, Lagos", 1311362, 06 May 2022, 06 May 2022, Available, 3, 3, 4,, ,,,,,
520, per annum,"2,500,000", Flat / Apartment," By Gilmore, Jahi, Abuja", 1311352, 06 May 2022, 06 May 2022, Available, 2, 2, 3, 5,,,,,,
521, per annum,"3,000,000", Flat / Apartment," Bera Estate, Lekki, Lagos", 1311348, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 3,,,,,,
522, per annum,"12,000,000", Flat / Apartment," Ikoyi Lagos Nigeria, Ikoyi, Lagos", 1311340, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 15, ,,,," 3,000 sqm"," 1,500 sqm"
523, per annum,"1,700,000", Self Contain (Single Rooms)," Jakande By Salem Bus Stop, Lekki, Lagos", 1311332, 06 May 2022, 06 May 2022, Available,, 1, 1, 1, , Serviced," ₦25,000 per month",,,
524, per annum,"6,500,000", Terraced Duplex," Ikeja GRA, Ikeja, Lagos", 1311331, 06 May 2022, 06 May 2022, Available, 3, 3, 4,, ,,,,,
525, per day,"60,000", Conference / Meeting / Training Room," Kado, Abuja", 638818, 05 Jun 2020, 04 Mar 2022, Available,,,, 10,,,,,,
526, per annum,"3,500,000", House," Thomas Estate, Ajah, Lagos", 1266462, 22 Mar 2022, 06 May 2022, Available, 4,, 4,, ,,,,,
527, per annum,"5,500,000", Detached Duplex," Lafiaji, Lekki, Lagos", 1288899, 13 Apr 2022, 13 Apr 2022, Available, 4, 4, 5, 3,,,,,,
528, per annum,"5,000,000", Detached Duplex," Ikota, Lekki, Lagos", 1302534, 27 Apr 2022, 27 Apr 2022, Available, 4, 6, 5, 3,,,,,,
529, per annum,"900,000", Flat / Apartment," Before Lagos Business School, Olokonla, Ajah, Lagos", 1311278, 06 May 2022, 06 May 2022, Available, 2, 2, 3, 3,,,,,,
530, per annum,"1,500,000", Flat / Apartment," Market Square, Ago Palace, Isolo, Lagos", 1237807, 24 Feb 2022, 06 May 2022, Available, 2, 3, 3,, ,,,,,
531, per annum,"1,200,000", Flat / Apartment," Off Grandmate, Ago Palace, Isolo, Lagos", 1252782, 09 Mar 2022, 06 May 2022, Available, 2, 3, 3,, ,,,,,
532, per annum,"3,000,000", Flat / Apartment," Oniru Estate, Oniru, Victoria Island (VI), Lagos", 1311391, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 2, , Serviced," ₦2,015,000 per annum",,,
533, per annum,"2,700,000", Flat / Apartment," Glory Court Estate, Omole Phase 1, Ikeja, Lagos", 1311390, 06 May 2022, 06 May 2022, Available, 3, 3, 4,, ,,,,,
534, per annum,"8,000,000", Semi-detached Duplex," Sonibare Estate , Ikeja Gra Extension, Ikeja GRA, Ikeja, Lagos", 1311378, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 5,, Serviced," ₦2,500,000 per annum", Furnished,,
535, per annum,"20,000,000", Detached Duplex," By Governors Lodges., Asokoro District, Abuja", 1311386, 06 May 2022, 06 May 2022, Available, 8, 8, 9,, ,,,,,
536, per annum,"5,000,000", Detached Duplex," Oral Estate, Lekki, Lagos", 1311377, 06 May 2022, 06 May 2022, Available, 5, 5, 6, 4,,,,,,
537, per annum,"6,000,000", House," Adeniyi Jones, Ikeja, Lagos", 1311368, 06 May 2022, 06 May 2022, Available, 5, 5, 6,, ,,,,,
538, per annum,"1,100,000", Mini Flat (Room and Parlour)," Ikate Elegushi, Lekki, Lagos", 1311365, 06 May 2022, 06 May 2022, Available, 1,,,,,,,,,
539, per annum,"400,000", Self Contain (Single Rooms)," Therra Zone Peace Estate, Sangotedo, Ajah, Lagos", 1311364, 06 May 2022, 06 May 2022, Available,, 4, 4,, ,,,,,
540, per annum,"3,000,000", Flat / Apartment," Chevron Drive, Lekki Phase 2, Lekki, Lagos", 1311362, 06 May 2022, 06 May 2022, Available, 3, 3, 4,, ,,,,,
541, per annum,"2,500,000", Flat / Apartment," By Gilmore, Jahi, Abuja", 1311352, 06 May 2022, 06 May 2022, Available, 2, 2, 3, 5,,,,,,
542, per annum,"3,000,000", Flat / Apartment," Bera Estate, Lekki, Lagos", 1311348, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 3,,,,,,
543, per annum,"12,000,000", Flat / Apartment," Ikoyi Lagos Nigeria, Ikoyi, Lagos", 1311340, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 15, ,,,," 3,000 sqm"," 1,500 sqm"
544, per annum,"1,700,000", Self Contain (Single Rooms)," Jakande By Salem Bus Stop, Lekki, Lagos", 1311332, 06 May 2022, 06 May 2022, Available,, 1, 1, 1, , Serviced," ₦25,000 per month",,,
545, per annum,"6,500,000", Terraced Duplex," Ikeja GRA, Ikeja, Lagos", 1311331, 06 May 2022, 06 May 2022, Available, 3, 3, 4,, ,,,,,
546, per annum,"4,500,000", Terraced Duplex," Naf Valley Estate, Asokoro District, Abuja", 1296211, 21 Apr 2022, 04 May 2022, Available, 3, 3, 4, 1, , Serviced," ₦800,000 per annum", Furnished, 400 sqm, 280 sqm
547, per annum,"3,500,000", House," Thomas Estate, Ajah, Lagos", 1266462, 22 Mar 2022, 06 May 2022, Available, 4,, 4,, ,,,,,
548, per annum,"5,500,000", Detached Duplex," Lafiaji, Lekki, Lagos", 1288899, 13 Apr 2022, 13 Apr 2022, Available, 4, 4, 5, 3,,,,,,
549, per annum,"5,000,000", Detached Duplex," Ikota, Lekki, Lagos", 1302534, 27 Apr 2022, 27 Apr 2022, Available, 4, 6, 5, 3,,,,,,
550, per annum,"900,000", Flat / Apartment," Before Lagos Business School, Olokonla, Ajah, Lagos", 1311278, 06 May 2022, 06 May 2022, Available, 2, 2, 3, 3,,,,,,
551, per annum,"1,500,000", Flat / Apartment," Market Square, Ago Palace, Isolo, Lagos", 1237807, 24 Feb 2022, 06 May 2022, Available, 2, 3, 3,, ,,,,,
552, per annum,"1,200,000", Flat / Apartment," Off Grandmate, Ago Palace, Isolo, Lagos", 1252782, 09 Mar 2022, 06 May 2022, Available, 2, 3, 3,, ,,,,,
553, per annum,"3,000,000", Flat / Apartment," Oniru Estate, Oniru, Victoria Island (VI), Lagos", 1311391, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 2, , Serviced," ₦2,015,000 per annum",,,
554, per annum,"2,700,000", Flat / Apartment," Glory Court Estate, Omole Phase 1, Ikeja, Lagos", 1311390, 06 May 2022, 06 May 2022, Available, 3, 3, 4,, ,,,,,
555, per annum,"8,000,000", Semi-detached Duplex," Sonibare Estate , Ikeja Gra Extension, Ikeja GRA, Ikeja, Lagos", 1311378, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 5,, Serviced," ₦2,500,000 per annum", Furnished,,
556, per annum,"20,000,000", Detached Duplex," By Governors Lodges., Asokoro District, Abuja", 1311386, 06 May 2022, 06 May 2022, Available, 8, 8, 9,, ,,,,,
557, per annum,"5,000,000", Detached Duplex," Oral Estate, Lekki, Lagos", 1311377, 06 May 2022, 06 May 2022, Available, 5, 5, 6, 4,,,,,,
558, per annum,"6,000,000", House," Adeniyi Jones, Ikeja, Lagos", 1311368, 06 May 2022, 06 May 2022, Available, 5, 5, 6,, ,,,,,
559, per annum,"1,100,000", Mini Flat (Room and Parlour)," Ikate Elegushi, Lekki, Lagos", 1311365, 06 May 2022, 06 May 2022, Available, 1,,,,,,,,,
560, per annum,"400,000", Self Contain (Single Rooms)," Therra Zone Peace Estate, Sangotedo, Ajah, Lagos", 1311364, 06 May 2022, 06 May 2022, Available,, 4, 4,, ,,,,,
561, per annum,"3,000,000", Flat / Apartment," Chevron Drive, Lekki Phase 2, Lekki, Lagos", 1311362, 06 May 2022, 06 May 2022, Available, 3, 3, 4,, ,,,,,
562, per annum,"2,500,000", Flat / Apartment," By Gilmore, Jahi, Abuja", 1311352, 06 May 2022, 06 May 2022, Available, 2, 2, 3, 5,,,,,,
563, per annum,"3,000,000", Flat / Apartment," Bera Estate, Lekki, Lagos", 1311348, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 3,,,,,,
564, per annum,"12,000,000", Flat / Apartment," Ikoyi Lagos Nigeria, Ikoyi, Lagos", 1311340, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 15, ,,,," 3,000 sqm"," 1,500 sqm"
565, per annum,"1,700,000", Self Contain (Single Rooms)," Jakande By Salem Bus Stop, Lekki, Lagos", 1311332, 06 May 2022, 06 May 2022, Available,, 1, 1, 1, , Serviced," ₦25,000 per month",,,
566, per annum,"6,500,000", Terraced Duplex," Ikeja GRA, Ikeja, Lagos", 1311331, 06 May 2022, 06 May 2022, Available, 3, 3, 4,, ,,,,,
567, per annum,"8,000,000", Terraced Duplex," Oniru, Victoria Island (VI), Lagos", 1243809, 02 Mar 2022, 11 Apr 2022, Available, 5, 5, 6,, ,,,,,
568, per annum,"3,500,000", House," Thomas Estate, Ajah, Lagos", 1266462, 22 Mar 2022, 06 May 2022, Available, 4,, 4,, ,,,,,
569, per annum,"5,500,000", Detached Duplex," Lafiaji, Lekki, Lagos", 1288899, 13 Apr 2022, 13 Apr 2022, Available, 4, 4, 5, 3,,,,,,
570, per annum,"5,000,000", Detached Duplex," Ikota, Lekki, Lagos", 1302534, 27 Apr 2022, 27 Apr 2022, Available, 4, 6, 5, 3,,,,,,
571, per annum,"900,000", Flat / Apartment," Before Lagos Business School, Olokonla, Ajah, Lagos", 1311278, 06 May 2022, 06 May 2022, Available, 2, 2, 3, 3,,,,,,
572, per annum,"1,500,000", Flat / Apartment," Market Square, Ago Palace, Isolo, Lagos", 1237807, 24 Feb 2022, 06 May 2022, Available, 2, 3, 3,, ,,,,,
573, per annum,"1,200,000", Flat / Apartment," Off Grandmate, Ago Palace, Isolo, Lagos", 1252782, 09 Mar 2022, 06 May 2022, Available, 2, 3, 3,, ,,,,,
574, per annum,"3,000,000", Flat / Apartment," Oniru Estate, Oniru, Victoria Island (VI), Lagos", 1311391, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 2, , Serviced," ₦2,015,000 per annum",,,
575, per annum,"2,700,000", Flat / Apartment," Glory Court Estate, Omole Phase 1, Ikeja, Lagos", 1311390, 06 May 2022, 06 May 2022, Available, 3, 3, 4,, ,,,,,
576, per annum,"8,000,000", Semi-detached Duplex," Sonibare Estate , Ikeja Gra Extension, Ikeja GRA, Ikeja, Lagos", 1311378, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 5,, Serviced," ₦2,500,000 per annum", Furnished,,
577, per annum,"20,000,000", Detached Duplex," By Governors Lodges., Asokoro District, Abuja", 1311386, 06 May 2022, 06 May 2022, Available, 8, 8, 9,, ,,,,,
578, per annum,"5,000,000", Detached Duplex," Oral Estate, Lekki, Lagos", 1311377, 06 May 2022, 06 May 2022, Available, 5, 5, 6, 4,,,,,,
579, per annum,"6,000,000", House," Adeniyi Jones, Ikeja, Lagos", 1311368, 06 May 2022, 06 May 2022, Available, 5, 5, 6,, ,,,,,
580, per annum,"1,100,000", Mini Flat (Room and Parlour)," Ikate Elegushi, Lekki, Lagos", 1311365, 06 May 2022, 06 May 2022, Available, 1,,,,,,,,,
581, per annum,"400,000", Self Contain (Single Rooms)," Therra Zone Peace Estate, Sangotedo, Ajah, Lagos", 1311364, 06 May 2022, 06 May 2022, Available,, 4, 4,, ,,,,,
582, per annum,"3,000,000", Flat / Apartment," Chevron Drive, Lekki Phase 2, Lekki, Lagos", 1311362, 06 May 2022, 06 May 2022, Available, 3, 3, 4,, ,,,,,
583, per annum,"2,500,000", Flat / Apartment," By Gilmore, Jahi, Abuja", 1311352, 06 May 2022, 06 May 2022, Available, 2, 2, 3, 5,,,,,,
584, per annum,"3,000,000", Flat / Apartment," Bera Estate, Lekki, Lagos", 1311348, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 3,,,,,,
585, per annum,"12,000,000", Flat / Apartment," Ikoyi Lagos Nigeria, Ikoyi, Lagos", 1311340, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 15, ,,,," 3,000 sqm"," 1,500 sqm"
586, per annum,"1,700,000", Self Contain (Single Rooms)," Jakande By Salem Bus Stop, Lekki, Lagos", 1311332, 06 May 2022, 06 May 2022, Available,, 1, 1, 1, , Serviced," ₦25,000 per month",,,
587, per annum,"6,500,000", Terraced Duplex," Ikeja GRA, Ikeja, Lagos", 1311331, 06 May 2022, 06 May 2022, Available, 3, 3, 4,, ,,,,,
588, per annum,"3,000,000", Terraced Duplex," Amity Estate, Sangotedo, Ajah, Lagos", 979164, 17 Jun 2021, 04 May 2022, Available, 3, 3, 4, 2,,,,,,
589, per annum,"3,500,000", House," Thomas Estate, Ajah, Lagos", 1266462, 22 Mar 2022, 06 May 2022, Available, 4,, 4,, ,,,,,
590, per annum,"5,500,000", Detached Duplex," Lafiaji, Lekki, Lagos", 1288899, 13 Apr 2022, 13 Apr 2022, Available, 4, 4, 5, 3,,,,,,
591, per annum,"5,000,000", Detached Duplex," Ikota, Lekki, Lagos", 1302534, 27 Apr 2022, 27 Apr 2022, Available, 4, 6, 5, 3,,,,,,
592, per annum,"900,000", Flat / Apartment," Before Lagos Business School, Olokonla, Ajah, Lagos", 1311278, 06 May 2022, 06 May 2022, Available, 2, 2, 3, 3,,,,,,
593, per annum,"1,500,000", Flat / Apartment," Market Square, Ago Palace, Isolo, Lagos", 1237807, 24 Feb 2022, 06 May 2022, Available, 2, 3, 3,, ,,,,,
594, per annum,"1,200,000", Flat / Apartment," Off Grandmate, Ago Palace, Isolo, Lagos", 1252782, 09 Mar 2022, 06 May 2022, Available, 2, 3, 3,, ,,,,,
595, per annum,"3,000,000", Flat / Apartment," Oniru Estate, Oniru, Victoria Island (VI), Lagos", 1311391, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 2, , Serviced," ₦2,015,000 per annum",,,
596, per annum,"2,700,000", Flat / Apartment," Glory Court Estate, Omole Phase 1, Ikeja, Lagos", 1311390, 06 May 2022, 06 May 2022, Available, 3, 3, 4,, ,,,,,
597, per annum,"8,000,000", Semi-detached Duplex," Sonibare Estate , Ikeja Gra Extension, Ikeja GRA, Ikeja, Lagos", 1311378, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 5,, Serviced," ₦2,500,000 per annum", Furnished,,
598, per annum,"20,000,000", Detached Duplex," By Governors Lodges., Asokoro District, Abuja", 1311386, 06 May 2022, 06 May 2022, Available, 8, 8, 9,, ,,,,,
599, per annum,"5,000,000", Detached Duplex," Oral Estate, Lekki, Lagos", 1311377, 06 May 2022, 06 May 2022, Available, 5, 5, 6, 4,,,,,,
600, per annum,"6,000,000", House," Adeniyi Jones, Ikeja, Lagos", 1311368, 06 May 2022, 06 May 2022, Available, 5, 5, 6,, ,,,,,
601, per annum,"1,100,000", Mini Flat (Room and Parlour)," Ikate Elegushi, Lekki, Lagos", 1311365, 06 May 2022, 06 May 2022, Available, 1,,,,,,,,,
602, per annum,"400,000", Self Contain (Single Rooms)," Therra Zone Peace Estate, Sangotedo, Ajah, Lagos", 1311364, 06 May 2022, 06 May 2022, Available,, 4, 4,, ,,,,,
603, per annum,"3,000,000", Flat / Apartment," Chevron Drive, Lekki Phase 2, Lekki, Lagos", 1311362, 06 May 2022, 06 May 2022, Available, 3, 3, 4,, ,,,,,
604, per annum,"2,500,000", Flat / Apartment," By Gilmore, Jahi, Abuja", 1311352, 06 May 2022, 06 May 2022, Available, 2, 2, 3, 5,,,,,,
605, per annum,"3,000,000", Flat / Apartment," Bera Estate, Lekki, Lagos", 1311348, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 3,,,,,,
606, per annum,"12,000,000", Flat / Apartment," Ikoyi Lagos Nigeria, Ikoyi, Lagos", 1311340, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 15, ,,,," 3,000 sqm"," 1,500 sqm"
607, per annum,"1,700,000", Self Contain (Single Rooms)," Jakande By Salem Bus Stop, Lekki, Lagos", 1311332, 06 May 2022, 06 May 2022, Available,, 1, 1, 1, , Serviced," ₦25,000 per month",,,
608, per annum,"6,500,000", Terraced Duplex," Ikeja GRA, Ikeja, Lagos", 1311331, 06 May 2022, 06 May 2022, Available, 3, 3, 4,, ,,,,,
