,Period,Price,Type,Location,Property Ref,Added On,Last Updated,Market Status,Bedrooms,Bathrooms,Toilets,Parking Spaces,Servicing,Service Charge,   ,Total Area,Covered Area,Furnishing
280, per annum,"1,300,000", Flat / Apartment," Sangotedo, Ajah, Lagos", 1310459, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 2,,,,,,
281, per annum,"6,000,000", Flat / Apartment," Chevron Drive, Ikota, Lekki, Lagos", 1310456, 05 May 2022, 05 May 2022, Available, 4, 4, 5, 4, Serviced," ₦70,000 per month", ,,,
282, per annum,"10,000,000", House," Alausa, Alausa, Ikeja, Lagos", 1310431, 05 May 2022, 05 May 2022, Available, 4, 4, 5,,,, ,,,
283, per annum,"2,000,000", Flat / Apartment," Borno Way, Ebute Metta East, Yaba, Lagos", 1310426, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 6, Serviced," ₦240,000 per annum",,,, Furnished
284, per annum,"400,000", Mini Flat (Room and Parlour)," Abijo, Victory Villa Estate, Ajah, Lagos", 1310422, 05 May 2022, 05 May 2022, Available, 1, 1, 2, 1,,, ,,, Furnished
285, per annum,"450,000", Self Contain (Single Rooms)," Behind Abraham Adesanya, Roi Estate, Opposite Lekki Scheme 2, Ajiwe, Ajah, Lagos", 1310419, 05 May 2022, 05 May 2022, Available,, 1, 1, 3,,, ,,,
286, per annum,"10,500,000", Flat / Apartment," Victoria Island (VI), Lagos", 1229072, 16 Feb 2022, 05 May 2022, Available, 1, 1, 1, 1, Serviced," ₦5,500,000 per annum", ,,,
287, per annum,"1,000,000", Flat / Apartment," Destiny Homes Estate, Thomas, Ajah, Lagos", 1310402, 05 May 2022, 05 May 2022, Available, 2, 2, 2,,,, ,,,
288, per annum,"2,000,000", Flat / Apartment," Sabo, Sabo, Yaba, Lagos", 1310400, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 6,,, ,,, Furnished
289, per annum,"3,500,000", Terraced Duplex," Inside An Estate, Agungi, Lekki, Lagos", 1310398, 05 May 2022, 05 May 2022, Available, 4, 5, 5,,,, ,,,
290, per annum,"12,000,000", Detached Duplex," Lekki Phase 1, Lekki, Lagos", 1310391, 05 May 2022, 05 May 2022, Available, 4,,,,,,,,,
291, per annum,"1,000,000", Flat / Apartment," Treasure Estate, Sangotedo, Sangotedo, Ajah, Lagos", 1310379, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 2,,, , 200 sqm, 200 sqm,
292, per annum,"10,000,000", Terraced Duplex," Dideolu Estate, Oniru, Victoria Island (VI), Lagos", 1310378, 05 May 2022, 05 May 2022, Available, 4, 4, 5,, Serviced," ₦1,400,000 per annum", ,,,
293, per annum,"250,000", Flat / Apartment," Behind Lasun Hotel, Oroki, Osogbo, Osun", 1226535, 14 Feb 2022, 05 May 2022, Available, 2, 2, 2,, Serviced," ₦50,000 per annum", ,,,
294, per annum,"8,000,000", Detached Duplex," Harmony Enclave, Adeniyi Jones, Ikeja, Lagos", 1293751, 18 Apr 2022, 18 Apr 2022, Available, 5,, 6,,,, ,,,
295, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5, 5, 5,,,,,,
296, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, 5, 3, Serviced," ₦40,000 per month", ,,,
297, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, 5,, Serviced," ₦500,000 ", ,,,
298, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2, 2, 1, Serviced," ₦11,000 per annum",, 600 sqm, 500 sqm,
299, per annum,"12,000,000", Flat / Apartment," 1004 Estate, Victoria Island (VI), Lagos", 1308811, 04 May 2022, 05 May 2022, Available, 2, 2, 2, 4, Serviced,, ,,, Furnished
300, per annum,"5,000,000", Flat / Apartment," Off Marwa Bus Stop Lekki Phase 1, Lekki Phase 1, Lekki, Lagos", 1310460, 05 May 2022, 05 May 2022, Available, 2, 2, 3, 2, Serviced," ₦1,300,000 per annum", ," 1,000 sqm", 600 sqm,
301, per annum,"1,300,000", Flat / Apartment," Sangotedo, Ajah, Lagos", 1310459, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 2,,,,,,
302, per annum,"6,000,000", Flat / Apartment," Chevron Drive, Ikota, Lekki, Lagos", 1310456, 05 May 2022, 05 May 2022, Available, 4, 4, 5, 4, Serviced," ₦70,000 per month", ,,,
303, per annum,"10,000,000", House," Alausa, Alausa, Ikeja, Lagos", 1310431, 05 May 2022, 05 May 2022, Available, 4, 4, 5,,,, ,,,
304, per annum,"2,000,000", Flat / Apartment," Borno Way, Ebute Metta East, Yaba, Lagos", 1310426, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 6, Serviced," ₦240,000 per annum",,,, Furnished
305, per annum,"400,000", Mini Flat (Room and Parlour)," Abijo, Victory Villa Estate, Ajah, Lagos", 1310422, 05 May 2022, 05 May 2022, Available, 1, 1, 2, 1,,, ,,, Furnished
306, per annum,"450,000", Self Contain (Single Rooms)," Behind Abraham Adesanya, Roi Estate, Opposite Lekki Scheme 2, Ajiwe, Ajah, Lagos", 1310419, 05 May 2022, 05 May 2022, Available,, 1, 1, 3,,, ,,,
307, per annum,"10,500,000", Flat / Apartment," Victoria Island (VI), Lagos", 1229072, 16 Feb 2022, 05 May 2022, Available, 1, 1, 1, 1, Serviced," ₦5,500,000 per annum", ,,,
308, per annum,"1,000,000", Flat / Apartment," Destiny Homes Estate, Thomas, Ajah, Lagos", 1310402, 05 May 2022, 05 May 2022, Available, 2, 2, 2,,,, ,,,
309, per annum,"2,000,000", Flat / Apartment," Sabo, Sabo, Yaba, Lagos", 1310400, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 6,,, ,,, Furnished
310, per annum,"3,500,000", Terraced Duplex," Inside An Estate, Agungi, Lekki, Lagos", 1310398, 05 May 2022, 05 May 2022, Available, 4, 5, 5,,,, ,,,
311, per annum,"12,000,000", Detached Duplex," Lekki Phase 1, Lekki, Lagos", 1310391, 05 May 2022, 05 May 2022, Available, 4,,,,,,,,,
312, per annum,"1,000,000", Flat / Apartment," Treasure Estate, Sangotedo, Sangotedo, Ajah, Lagos", 1310379, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 2,,, , 200 sqm, 200 sqm,
313, per annum,"10,000,000", Terraced Duplex," Dideolu Estate, Oniru, Victoria Island (VI), Lagos", 1310378, 05 May 2022, 05 May 2022, Available, 4, 4, 5,, Serviced," ₦1,400,000 per annum", ,,,
314, per annum,"250,000", Flat / Apartment," Behind Lasun Hotel, Oroki, Osogbo, Osun", 1226535, 14 Feb 2022, 05 May 2022, Available, 2, 2, 2,, Serviced," ₦50,000 per annum", ,,,
315, per annum,"900,000", Self Contain (Single Rooms)," Lekki County Homes, Ikota, Lekki, Lagos", 1303787, 28 Apr 2022, 04 May 2022, Available,, 1, 1,, Serviced," ₦150,000 per annum",,,,
316, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5, 5, 5,,,,,,
317, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, 5, 3, Serviced," ₦40,000 per month", ,,,
318, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, 5,, Serviced," ₦500,000 ", ,,,
319, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2, 2, 1, Serviced," ₦11,000 per annum",, 600 sqm, 500 sqm,
320, per annum,"12,000,000", Flat / Apartment," 1004 Estate, Victoria Island (VI), Lagos", 1308811, 04 May 2022, 05 May 2022, Available, 2, 2, 2, 4, Serviced,, ,,, Furnished
321, per annum,"5,000,000", Flat / Apartment," Off Marwa Bus Stop Lekki Phase 1, Lekki Phase 1, Lekki, Lagos", 1310460, 05 May 2022, 05 May 2022, Available, 2, 2, 3, 2, Serviced," ₦1,300,000 per annum", ," 1,000 sqm", 600 sqm,
322, per annum,"1,300,000", Flat / Apartment," Sangotedo, Ajah, Lagos", 1310459, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 2,,,,,,
323, per annum,"6,000,000", Flat / Apartment," Chevron Drive, Ikota, Lekki, Lagos", 1310456, 05 May 2022, 05 May 2022, Available, 4, 4, 5, 4, Serviced," ₦70,000 per month", ,,,
324, per annum,"10,000,000", House," Alausa, Alausa, Ikeja, Lagos", 1310431, 05 May 2022, 05 May 2022, Available, 4, 4, 5,,,, ,,,
325, per annum,"2,000,000", Flat / Apartment," Borno Way, Ebute Metta East, Yaba, Lagos", 1310426, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 6, Serviced," ₦240,000 per annum",,,, Furnished
326, per annum,"400,000", Mini Flat (Room and Parlour)," Abijo, Victory Villa Estate, Ajah, Lagos", 1310422, 05 May 2022, 05 May 2022, Available, 1, 1, 2, 1,,, ,,, Furnished
327, per annum,"450,000", Self Contain (Single Rooms)," Behind Abraham Adesanya, Roi Estate, Opposite Lekki Scheme 2, Ajiwe, Ajah, Lagos", 1310419, 05 May 2022, 05 May 2022, Available,, 1, 1, 3,,, ,,,
328, per annum,"10,500,000", Flat / Apartment," Victoria Island (VI), Lagos", 1229072, 16 Feb 2022, 05 May 2022, Available, 1, 1, 1, 1, Serviced," ₦5,500,000 per annum", ,,,
329, per annum,"1,000,000", Flat / Apartment," Destiny Homes Estate, Thomas, Ajah, Lagos", 1310402, 05 May 2022, 05 May 2022, Available, 2, 2, 2,,,, ,,,
330, per annum,"2,000,000", Flat / Apartment," Sabo, Sabo, Yaba, Lagos", 1310400, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 6,,, ,,, Furnished
331, per annum,"3,500,000", Terraced Duplex," Inside An Estate, Agungi, Lekki, Lagos", 1310398, 05 May 2022, 05 May 2022, Available, 4, 5, 5,,,, ,,,
332, per annum,"12,000,000", Detached Duplex," Lekki Phase 1, Lekki, Lagos", 1310391, 05 May 2022, 05 May 2022, Available, 4,,,,,,,,,
333, per annum,"1,000,000", Flat / Apartment," Treasure Estate, Sangotedo, Sangotedo, Ajah, Lagos", 1310379, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 2,,, , 200 sqm, 200 sqm,
334, per annum,"10,000,000", Terraced Duplex," Dideolu Estate, Oniru, Victoria Island (VI), Lagos", 1310378, 05 May 2022, 05 May 2022, Available, 4, 4, 5,, Serviced," ₦1,400,000 per annum", ,,,
335, per annum,"250,000", Flat / Apartment," Behind Lasun Hotel, Oroki, Osogbo, Osun", 1226535, 14 Feb 2022, 05 May 2022, Available, 2, 2, 2,, Serviced," ₦50,000 per annum", ,,,
336, per annum,"1,400,000", Self Contain (Single Rooms)," Lekki County Homes, Ikota, Lekki, Lagos", 1303784, 28 Apr 2022, 04 May 2022, Available,, 1, 1, 1, Serviced," ₦150,000 per annum", ,,,
337, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5, 5, 5,,,,,,
338, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, 5, 3, Serviced," ₦40,000 per month", ,,,
339, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, 5,, Serviced," ₦500,000 ", ,,,
340, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2, 2, 1, Serviced," ₦11,000 per annum",, 600 sqm, 500 sqm,
341, per annum,"12,000,000", Flat / Apartment," 1004 Estate, Victoria Island (VI), Lagos", 1308811, 04 May 2022, 05 May 2022, Available, 2, 2, 2, 4, Serviced,, ,,, Furnished
342, per annum,"5,000,000", Flat / Apartment," Off Marwa Bus Stop Lekki Phase 1, Lekki Phase 1, Lekki, Lagos", 1310460, 05 May 2022, 05 May 2022, Available, 2, 2, 3, 2, Serviced," ₦1,300,000 per annum", ," 1,000 sqm", 600 sqm,
343, per annum,"1,300,000", Flat / Apartment," Sangotedo, Ajah, Lagos", 1310459, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 2,,,,,,
344, per annum,"6,000,000", Flat / Apartment," Chevron Drive, Ikota, Lekki, Lagos", 1310456, 05 May 2022, 05 May 2022, Available, 4, 4, 5, 4, Serviced," ₦70,000 per month", ,,,
345, per annum,"10,000,000", House," Alausa, Alausa, Ikeja, Lagos", 1310431, 05 May 2022, 05 May 2022, Available, 4, 4, 5,,,, ,,,
346, per annum,"2,000,000", Flat / Apartment," Borno Way, Ebute Metta East, Yaba, Lagos", 1310426, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 6, Serviced," ₦240,000 per annum",,,, Furnished
347, per annum,"400,000", Mini Flat (Room and Parlour)," Abijo, Victory Villa Estate, Ajah, Lagos", 1310422, 05 May 2022, 05 May 2022, Available, 1, 1, 2, 1,,, ,,, Furnished
348, per annum,"450,000", Self Contain (Single Rooms)," Behind Abraham Adesanya, Roi Estate, Opposite Lekki Scheme 2, Ajiwe, Ajah, Lagos", 1310419, 05 May 2022, 05 May 2022, Available,, 1, 1, 3,,, ,,,
349, per annum,"10,500,000", Flat / Apartment," Victoria Island (VI), Lagos", 1229072, 16 Feb 2022, 05 May 2022, Available, 1, 1, 1, 1, Serviced," ₦5,500,000 per annum", ,,,
350, per annum,"1,000,000", Flat / Apartment," Destiny Homes Estate, Thomas, Ajah, Lagos", 1310402, 05 May 2022, 05 May 2022, Available, 2, 2, 2,,,, ,,,
351, per annum,"2,000,000", Flat / Apartment," Sabo, Sabo, Yaba, Lagos", 1310400, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 6,,, ,,, Furnished
352, per annum,"3,500,000", Terraced Duplex," Inside An Estate, Agungi, Lekki, Lagos", 1310398, 05 May 2022, 05 May 2022, Available, 4, 5, 5,,,, ,,,
353, per annum,"12,000,000", Detached Duplex," Lekki Phase 1, Lekki, Lagos", 1310391, 05 May 2022, 05 May 2022, Available, 4,,,,,,,,,
354, per annum,"1,000,000", Flat / Apartment," Treasure Estate, Sangotedo, Sangotedo, Ajah, Lagos", 1310379, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 2,,, , 200 sqm, 200 sqm,
355, per annum,"10,000,000", Terraced Duplex," Dideolu Estate, Oniru, Victoria Island (VI), Lagos", 1310378, 05 May 2022, 05 May 2022, Available, 4, 4, 5,, Serviced," ₦1,400,000 per annum", ,,,
356, per annum,"250,000", Flat / Apartment," Behind Lasun Hotel, Oroki, Osogbo, Osun", 1226535, 14 Feb 2022, 05 May 2022, Available, 2, 2, 2,, Serviced," ₦50,000 per annum", ,,,
357, per annum,"3,000,000", Terraced Duplex," Amity Estate, Sangotedo, Ajah, Lagos", 979164, 17 Jun 2021, 04 May 2022, Available, 3, 3, 4, 2,,,,,,
358, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5, 5, 5,,,,,,
359, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, 5, 3, Serviced," ₦40,000 per month", ,,,
360, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, 5,, Serviced," ₦500,000 ", ,,,
361, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2, 2, 1, Serviced," ₦11,000 per annum",, 600 sqm, 500 sqm,
362, per annum,"12,000,000", Flat / Apartment," 1004 Estate, Victoria Island (VI), Lagos", 1308811, 04 May 2022, 05 May 2022, Available, 2, 2, 2, 4, Serviced,, ,,, Furnished
363, per annum,"5,000,000", Flat / Apartment," Off Marwa Bus Stop Lekki Phase 1, Lekki Phase 1, Lekki, Lagos", 1310460, 05 May 2022, 05 May 2022, Available, 2, 2, 3, 2, Serviced," ₦1,300,000 per annum", ," 1,000 sqm", 600 sqm,
364, per annum,"1,300,000", Flat / Apartment," Sangotedo, Ajah, Lagos", 1310459, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 2,,,,,,
365, per annum,"6,000,000", Flat / Apartment," Chevron Drive, Ikota, Lekki, Lagos", 1310456, 05 May 2022, 05 May 2022, Available, 4, 4, 5, 4, Serviced," ₦70,000 per month", ,,,
366, per annum,"10,000,000", House," Alausa, Alausa, Ikeja, Lagos", 1310431, 05 May 2022, 05 May 2022, Available, 4, 4, 5,,,, ,,,
367, per annum,"2,000,000", Flat / Apartment," Borno Way, Ebute Metta East, Yaba, Lagos", 1310426, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 6, Serviced," ₦240,000 per annum",,,, Furnished
368, per annum,"400,000", Mini Flat (Room and Parlour)," Abijo, Victory Villa Estate, Ajah, Lagos", 1310422, 05 May 2022, 05 May 2022, Available, 1, 1, 2, 1,,, ,,, Furnished
369, per annum,"450,000", Self Contain (Single Rooms)," Behind Abraham Adesanya, Roi Estate, Opposite Lekki Scheme 2, Ajiwe, Ajah, Lagos", 1310419, 05 May 2022, 05 May 2022, Available,, 1, 1, 3,,, ,,,
370, per annum,"10,500,000", Flat / Apartment," Victoria Island (VI), Lagos", 1229072, 16 Feb 2022, 05 May 2022, Available, 1, 1, 1, 1, Serviced," ₦5,500,000 per annum", ,,,
371, per annum,"1,000,000", Flat / Apartment," Destiny Homes Estate, Thomas, Ajah, Lagos", 1310402, 05 May 2022, 05 May 2022, Available, 2, 2, 2,,,, ,,,
372, per annum,"2,000,000", Flat / Apartment," Sabo, Sabo, Yaba, Lagos", 1310400, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 6,,, ,,, Furnished
373, per annum,"3,500,000", Terraced Duplex," Inside An Estate, Agungi, Lekki, Lagos", 1310398, 05 May 2022, 05 May 2022, Available, 4, 5, 5,,,, ,,,
374, per annum,"12,000,000", Detached Duplex," Lekki Phase 1, Lekki, Lagos", 1310391, 05 May 2022, 05 May 2022, Available, 4,,,,,,,,,
375, per annum,"1,000,000", Flat / Apartment," Treasure Estate, Sangotedo, Sangotedo, Ajah, Lagos", 1310379, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 2,,, , 200 sqm, 200 sqm,
376, per annum,"10,000,000", Terraced Duplex," Dideolu Estate, Oniru, Victoria Island (VI), Lagos", 1310378, 05 May 2022, 05 May 2022, Available, 4, 4, 5,, Serviced," ₦1,400,000 per annum", ,,,
377, per annum,"250,000", Flat / Apartment," Behind Lasun Hotel, Oroki, Osogbo, Osun", 1226535, 14 Feb 2022, 05 May 2022, Available, 2, 2, 2,, Serviced," ₦50,000 per annum", ,,,
378, per day,"60,000", Conference / Meeting / Training Room," Kado, Abuja", 638818, 05 Jun 2020, 04 Mar 2022, Available,,,, 10,,,,,,
379, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5, 5, 5,,,,,,
380, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, 5, 3, Serviced," ₦40,000 per month", ,,,
381, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, 5,, Serviced," ₦500,000 ", ,,,
382, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2, 2, 1, Serviced," ₦11,000 per annum",, 600 sqm, 500 sqm,
383, per annum,"12,000,000", Flat / Apartment," 1004 Estate, Victoria Island (VI), Lagos", 1308811, 04 May 2022, 05 May 2022, Available, 2, 2, 2, 4, Serviced,, ,,, Furnished
384, per annum,"5,000,000", Flat / Apartment," Off Marwa Bus Stop Lekki Phase 1, Lekki Phase 1, Lekki, Lagos", 1310460, 05 May 2022, 05 May 2022, Available, 2, 2, 3, 2, Serviced," ₦1,300,000 per annum", ," 1,000 sqm", 600 sqm,
385, per annum,"1,300,000", Flat / Apartment," Sangotedo, Ajah, Lagos", 1310459, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 2,,,,,,
386, per annum,"6,000,000", Flat / Apartment," Chevron Drive, Ikota, Lekki, Lagos", 1310456, 05 May 2022, 05 May 2022, Available, 4, 4, 5, 4, Serviced," ₦70,000 per month", ,,,
387, per annum,"10,000,000", House," Alausa, Alausa, Ikeja, Lagos", 1310431, 05 May 2022, 05 May 2022, Available, 4, 4, 5,,,, ,,,
388, per annum,"2,000,000", Flat / Apartment," Borno Way, Ebute Metta East, Yaba, Lagos", 1310426, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 6, Serviced," ₦240,000 per annum",,,, Furnished
389, per annum,"400,000", Mini Flat (Room and Parlour)," Abijo, Victory Villa Estate, Ajah, Lagos", 1310422, 05 May 2022, 05 May 2022, Available, 1, 1, 2, 1,,, ,,, Furnished
390, per annum,"450,000", Self Contain (Single Rooms)," Behind Abraham Adesanya, Roi Estate, Opposite Lekki Scheme 2, Ajiwe, Ajah, Lagos", 1310419, 05 May 2022, 05 May 2022, Available,, 1, 1, 3,,, ,,,
391, per annum,"10,500,000", Flat / Apartment," Victoria Island (VI), Lagos", 1229072, 16 Feb 2022, 05 May 2022, Available, 1, 1, 1, 1, Serviced," ₦5,500,000 per annum", ,,,
392, per annum,"1,000,000", Flat / Apartment," Destiny Homes Estate, Thomas, Ajah, Lagos", 1310402, 05 May 2022, 05 May 2022, Available, 2, 2, 2,,,, ,,,
393, per annum,"2,000,000", Flat / Apartment," Sabo, Sabo, Yaba, Lagos", 1310400, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 6,,, ,,, Furnished
394, per annum,"3,500,000", Terraced Duplex," Inside An Estate, Agungi, Lekki, Lagos", 1310398, 05 May 2022, 05 May 2022, Available, 4, 5, 5,,,, ,,,
395, per annum,"12,000,000", Detached Duplex," Lekki Phase 1, Lekki, Lagos", 1310391, 05 May 2022, 05 May 2022, Available, 4,,,,,,,,,
396, per annum,"1,000,000", Flat / Apartment," Treasure Estate, Sangotedo, Sangotedo, Ajah, Lagos", 1310379, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 2,,, , 200 sqm, 200 sqm,
397, per annum,"10,000,000", Terraced Duplex," Dideolu Estate, Oniru, Victoria Island (VI), Lagos", 1310378, 05 May 2022, 05 May 2022, Available, 4, 4, 5,, Serviced," ₦1,400,000 per annum", ,,,
398, per annum,"250,000", Flat / Apartment," Behind Lasun Hotel, Oroki, Osogbo, Osun", 1226535, 14 Feb 2022, 05 May 2022, Available, 2, 2, 2,, Serviced," ₦50,000 per annum", ,,,
399, per annum,"1,400,000", Self Contain (Single Rooms)," Lekki County Homes, Ikota, Lekki, Lagos", 1303784, 28 Apr 2022, 04 May 2022, Available,, 1, 1, 1, Serviced," ₦150,000 per annum", ,,,
400, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5, 5, 5,,,,,,
401, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, 5, 3, Serviced," ₦40,000 per month", ,,,
402, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, 5,, Serviced," ₦500,000 ", ,,,
403, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2, 2, 1, Serviced," ₦11,000 per annum",, 600 sqm, 500 sqm,
404, per annum,"12,000,000", Flat / Apartment," 1004 Estate, Victoria Island (VI), Lagos", 1308811, 04 May 2022, 05 May 2022, Available, 2, 2, 2, 4, Serviced,, ,,, Furnished
405, per annum,"5,000,000", Flat / Apartment," Off Marwa Bus Stop Lekki Phase 1, Lekki Phase 1, Lekki, Lagos", 1310460, 05 May 2022, 05 May 2022, Available, 2, 2, 3, 2, Serviced," ₦1,300,000 per annum", ," 1,000 sqm", 600 sqm,
406, per annum,"1,300,000", Flat / Apartment," Sangotedo, Ajah, Lagos", 1310459, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 2,,,,,,
407, per annum,"6,000,000", Flat / Apartment," Chevron Drive, Ikota, Lekki, Lagos", 1310456, 05 May 2022, 05 May 2022, Available, 4, 4, 5, 4, Serviced," ₦70,000 per month", ,,,
408, per annum,"10,000,000", House," Alausa, Alausa, Ikeja, Lagos", 1310431, 05 May 2022, 05 May 2022, Available, 4, 4, 5,,,, ,,,
409, per annum,"2,000,000", Flat / Apartment," Borno Way, Ebute Metta East, Yaba, Lagos", 1310426, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 6, Serviced," ₦240,000 per annum",,,, Furnished
410, per annum,"400,000", Mini Flat (Room and Parlour)," Abijo, Victory Villa Estate, Ajah, Lagos", 1310422, 05 May 2022, 05 May 2022, Available, 1, 1, 2, 1,,, ,,, Furnished
411, per annum,"450,000", Self Contain (Single Rooms)," Behind Abraham Adesanya, Roi Estate, Opposite Lekki Scheme 2, Ajiwe, Ajah, Lagos", 1310419, 05 May 2022, 05 May 2022, Available,, 1, 1, 3,,, ,,,
412, per annum,"10,500,000", Flat / Apartment," Victoria Island (VI), Lagos", 1229072, 16 Feb 2022, 05 May 2022, Available, 1, 1, 1, 1, Serviced," ₦5,500,000 per annum", ,,,
413, per annum,"1,000,000", Flat / Apartment," Destiny Homes Estate, Thomas, Ajah, Lagos", 1310402, 05 May 2022, 05 May 2022, Available, 2, 2, 2,,,, ,,,
414, per annum,"2,000,000", Flat / Apartment," Sabo, Sabo, Yaba, Lagos", 1310400, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 6,,, ,,, Furnished
415, per annum,"3,500,000", Terraced Duplex," Inside An Estate, Agungi, Lekki, Lagos", 1310398, 05 May 2022, 05 May 2022, Available, 4, 5, 5,,,, ,,,
416, per annum,"12,000,000", Detached Duplex," Lekki Phase 1, Lekki, Lagos", 1310391, 05 May 2022, 05 May 2022, Available, 4,,,,,,,,,
417, per annum,"1,000,000", Flat / Apartment," Treasure Estate, Sangotedo, Sangotedo, Ajah, Lagos", 1310379, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 2,,, , 200 sqm, 200 sqm,
418, per annum,"10,000,000", Terraced Duplex," Dideolu Estate, Oniru, Victoria Island (VI), Lagos", 1310378, 05 May 2022, 05 May 2022, Available, 4, 4, 5,, Serviced," ₦1,400,000 per annum", ,,,
419, per annum,"250,000", Flat / Apartment," Behind Lasun Hotel, Oroki, Osogbo, Osun", 1226535, 14 Feb 2022, 05 May 2022, Available, 2, 2, 2,, Serviced," ₦50,000 per annum", ,,,
420, per day,"50,000", Conference / Meeting / Training Room," 21, Ogunnusi Road., Ogba, Ikeja, Lagos", 1220208, 07 Feb 2022, 07 Feb 2022, Available,,,, 120,,,,,,
421, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5, 5, 5,,,,,,
